🦵🏻	cic, cos, cos: ton cnis geal, géag, ton cnis geal
👉🏼	corrmhéar, cúl cormhéar ag pointeáil ar dheis, cúl corrmhéire ag díriú ar dheis, cúl corrmhéire ag díriú ar dheis: ton cnis meánach-gheal, lámh, méar, ton cnis meánach-gheal
👉🏽	corrmhéar, cúl cormhéar ag pointeáil ar dheis, cúl corrmhéire ag díriú ar dheis, cúl corrmhéire ag díriú ar dheis: ton cnis meánach, lámh, méar, ton cnis meánach
👉🏾	corrmhéar, cúl cormhéar ag pointeáil ar dheis, cúl corrmhéire ag díriú ar dheis, cúl corrmhéire ag díriú ar dheis: ton cnis meánach-dhorcha, lámh, méar, ton cnis meánach-dhorcha
👉🏿	corrmhéar, cúl cormhéar ag pointeáil ar dheis, cúl corrmhéire ag díriú ar dheis, cúl corrmhéire ag díriú ar dheis: ton cnis dorcha, lámh, méar, ton cnis dorcha
☝🏻	corrmhéar, corrmhéar ag díriú suas, corrmhéar ag díriú suas: ton cnis geal, corrmhéar ag pointeáil suas, lámh, méar, suas, ton cnis geal
☝🏼	corrmhéar, corrmhéar ag díriú suas, corrmhéar ag díriú suas: ton cnis meánach-gheal, corrmhéar ag pointeáil suas, lámh, méar, suas, ton cnis meánach-gheal
☝🏽	corrmhéar, corrmhéar ag díriú suas, corrmhéar ag díriú suas: ton cnis meánach, corrmhéar ag pointeáil suas, lámh, méar, suas, ton cnis meánach
☝🏾	corrmhéar, corrmhéar ag díriú suas, corrmhéar ag díriú suas: ton cnis meánach-dhorcha, corrmhéar ag pointeáil suas, lámh, méar, suas, ton cnis meánach-dhorcha
☝🏿	corrmhéar, corrmhéar ag díriú suas, corrmhéar ag díriú suas: ton cnis dorcha, corrmhéar ag pointeáil suas, lámh, méar, suas, ton cnis dorcha
👆🏻	corrmhéar, cúl cormhéar ag pointeáil suas, cúl corrmhéire ag díriú suas, cúl corrmhéire ag díriú suas: ton cnis geal, lámh, méar, ton cnis geal
👆🏼	corrmhéar, cúl cormhéar ag pointeáil suas, cúl corrmhéire ag díriú suas, cúl corrmhéire ag díriú suas: ton cnis meánach-gheal, lámh, méar, ton cnis meánach-gheal
👆🏽	corrmhéar, cúl cormhéar ag pointeáil suas, cúl corrmhéire ag díriú suas, cúl corrmhéire ag díriú suas: ton cnis meánach, lámh, méar, ton cnis meánach
👆🏾	corrmhéar, cúl cormhéar ag pointeáil suas, cúl corrmhéire ag díriú suas, cúl corrmhéire ag díriú suas: ton cnis meánach-dhorcha, lámh, méar, ton cnis meánach-dhorcha
👆🏿	corrmhéar, cúl cormhéar ag pointeáil suas, cúl corrmhéire ag díriú suas, cúl corrmhéire ag díriú suas: ton cnis dorcha, lámh, méar, ton cnis dorcha
🖕🏻	corp, lámh, méar, méar láir, méar láir: ton cnis geal, ton cnis geal
🖕🏼	corp, lámh, méar, méar láir, méar láir: ton cnis meánach-gheal, ton cnis meánach-gheal
🖕🏽	corp, lámh, méar, méar láir, méar láir: ton cnis meánach, ton cnis meánach
🖕🏾	corp, lámh, méar, méar láir, méar láir: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🖕🏿	corp, lámh, méar, méar láir, méar láir: ton cnis dorcha, ton cnis dorcha
👇🏻	corrmhéar, cúl cormhéar ag pointeáil síos, cúl corrmhéire ag díriú síos, cúl corrmhéire ag díriú síos: ton cnis geal, lámh, méar, ton cnis geal
👇🏼	corrmhéar, cúl cormhéar ag pointeáil síos, cúl corrmhéire ag díriú síos, cúl corrmhéire ag díriú síos: ton cnis meánach-gheal, lámh, méar, ton cnis meánach-gheal
👇🏽	corrmhéar, cúl cormhéar ag pointeáil síos, cúl corrmhéire ag díriú síos, cúl corrmhéire ag díriú síos: ton cnis meánach, lámh, méar, ton cnis meánach
👇🏾	corrmhéar, cúl cormhéar ag pointeáil síos, cúl corrmhéire ag díriú síos, cúl corrmhéire ag díriú síos: ton cnis meánach-dhorcha, lámh, méar, ton cnis meánach-dhorcha
👇🏿	corrmhéar, cúl cormhéar ag pointeáil síos, cúl corrmhéire ag díriú síos, cúl corrmhéire ag díriú síos: ton cnis dorcha, lámh, méar, ton cnis dorcha
✌🏻	bua, lámh bua, lámh síocháin, lámh síochána, lámh síochána: ton cnis geal, ton cnis geal
✌🏼	bua, lámh bua, lámh síocháin, lámh síochána, lámh síochána: ton cnis meánach-gheal, ton cnis meánach-gheal
✌🏽	bua, lámh bua, lámh síocháin, lámh síochána, lámh síochána: ton cnis meánach, ton cnis meánach
✌🏾	bua, lámh bua, lámh síocháin, lámh síochána, lámh síochána: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
✌🏿	bua, lámh bua, lámh síocháin, lámh síochána, lámh síochána: ton cnis dorcha, ton cnis dorcha
🤞🏻	ag súil, crosach, méara, méara crosach ar a chéile, méarsa trasna, méarsa trasna: ton cnis geal, ton cnis geal, ádh
🤞🏼	ag súil, crosach, méara, méara crosach ar a chéile, méarsa trasna, méarsa trasna: ton cnis meánach-gheal, ton cnis meánach-gheal, ádh
🤞🏽	ag súil, crosach, méara, méara crosach ar a chéile, méarsa trasna, méarsa trasna: ton cnis meánach, ton cnis meánach, ádh
🤞🏾	ag súil, crosach, méara, méara crosach ar a chéile, méarsa trasna, méarsa trasna: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha, ádh
🤞🏿	ag súil, crosach, méara, méara crosach ar a chéile, méarsa trasna, méarsa trasna: ton cnis dorcha, ton cnis dorcha, ádh
🖖🏻	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis geal, lámh, méar, spock, ton cnis geal
🖖🏼	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis meánach-gheal, lámh, méar, spock, ton cnis meánach-gheal
🖖🏽	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis meánach, lámh, méar, spock, ton cnis meánach
🖖🏾	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis meánach-dhorcha, lámh, méar, spock, ton cnis meánach-dhorcha
🖖🏿	cuirtéis Bholcáin, cuirtéis Bholcáin: ton cnis dorcha, lámh, méar, spock, ton cnis dorcha
🤘🏻	lean ort, lámh, lámh na binne, méar, siombail na n-adharc, siombail na n-adharc: ton cnis geal, ton cnis geal
🤘🏼	lean ort, lámh, lámh na binne, méar, siombail na n-adharc, siombail na n-adharc: ton cnis meánach-gheal, ton cnis meánach-gheal
🤘🏽	lean ort, lámh, lámh na binne, méar, siombail na n-adharc, siombail na n-adharc: ton cnis meánach, ton cnis meánach
🤘🏾	lean ort, lámh, lámh na binne, méar, siombail na n-adharc, siombail na n-adharc: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🤘🏿	lean ort, lámh, lámh na binne, méar, siombail na n-adharc, siombail na n-adharc: ton cnis dorcha, ton cnis dorcha
🤙🏻	an lámh cur glao orm, an lámh cur glao orm: ton cnis geal, glaoch, glaoigh orm, guthán, lámh, ton cnis geal
🤙🏼	an lámh cur glao orm, an lámh cur glao orm: ton cnis meánach-gheal, glaoch, glaoigh orm, guthán, lámh, ton cnis meánach-gheal
🤙🏽	an lámh cur glao orm, an lámh cur glao orm: ton cnis meánach, glaoch, glaoigh orm, guthán, lámh, ton cnis meánach
🤙🏾	an lámh cur glao orm, an lámh cur glao orm: ton cnis meánach-dhorcha, glaoch, glaoigh orm, guthán, lámh, ton cnis meánach-dhorcha
🤙🏿	an lámh cur glao orm, an lámh cur glao orm: ton cnis dorcha, glaoch, glaoigh orm, guthán, lámh, ton cnis dorcha
🖐🏻	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis geal, lámha suas lena mhéara ar leathadh, ton cnis geal
🖐🏼	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis meánach-gheal, lámha suas lena mhéara ar leathadh, ton cnis meánach-gheal
🖐🏽	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis meánach, lámha suas lena mhéara ar leathadh, ton cnis meánach
🖐🏾	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis meánach-dhorcha, lámha suas lena mhéara ar leathadh, ton cnis meánach-dhorcha
🖐🏿	ar leathadh, corp, lámh, lámh le méara spréite, lámh le méara spréite: ton cnis dorcha, lámha suas lena mhéara ar leathadh, ton cnis dorcha
✋🏻	lámh ardaithe, lámh ardaithe: ton cnis geal, páipéar, ton cnis geal
✋🏼	lámh ardaithe, lámh ardaithe: ton cnis meánach-gheal, páipéar, ton cnis meánach-gheal
✋🏽	lámh ardaithe, lámh ardaithe: ton cnis meánach, páipéar, ton cnis meánach
✋🏾	lámh ardaithe, lámh ardaithe: ton cnis meánach-dhorcha, páipéar, ton cnis meánach-dhorcha
✋🏿	lámh ardaithe, lámh ardaithe: ton cnis dorcha, páipéar, ton cnis dorcha
👌🏻	OK, lámh, lámh OK: ton cnis geal, ton cnis geal
👌🏼	OK, lámh, lámh OK: ton cnis meánach-gheal, ton cnis meánach-gheal
👌🏽	OK, lámh, lámh OK: ton cnis meánach, ton cnis meánach
👌🏾	OK, lámh, lámh OK: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👌🏿	OK, lámh, lámh OK: ton cnis dorcha, ton cnis dorcha
👍🏻	OK, moladh, ordóg, ordóg suas, ordóg suas: ton cnis geal, ton cnis geal
👍🏼	OK, moladh, ordóg, ordóg suas, ordóg suas: ton cnis meánach-gheal, ton cnis meánach-gheal
👍🏽	OK, moladh, ordóg, ordóg suas, ordóg suas: ton cnis meánach, ton cnis meánach
👍🏾	OK, moladh, ordóg, ordóg suas, ordóg suas: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👍🏿	OK, moladh, ordóg, ordóg suas, ordóg suas: ton cnis dorcha, ton cnis dorcha
👎🏻	OK, cáineadh, ordóg, ordóg síos, ordóg síos: ton cnis geal, ton cnis geal
👎🏼	OK, cáineadh, ordóg, ordóg síos, ordóg síos: ton cnis meánach-gheal, ton cnis meánach-gheal
👎🏽	OK, cáineadh, ordóg, ordóg síos, ordóg síos: ton cnis meánach, ton cnis meánach
👎🏾	OK, cáineadh, ordóg, ordóg síos, ordóg síos: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👎🏿	OK, cáineadh, ordóg, ordóg síos, ordóg síos: ton cnis dorcha, ton cnis dorcha
✊🏻	carraig, dorn ardaithe, dorn ardaithe: ton cnis geal, ton cnis geal
✊🏼	carraig, dorn ardaithe, dorn ardaithe: ton cnis meánach-gheal, ton cnis meánach-gheal
✊🏽	carraig, dorn ardaithe, dorn ardaithe: ton cnis meánach, ton cnis meánach
✊🏾	carraig, dorn ardaithe, dorn ardaithe: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
✊🏿	carraig, dorn ardaithe, dorn ardaithe: ton cnis dorcha, ton cnis dorcha
👊🏻	dorn, dorn atá chugat, dorn atá chugat: ton cnis geal, lámh, ton cnis geal
👊🏼	dorn, dorn atá chugat, dorn atá chugat: ton cnis meánach-gheal, lámh, ton cnis meánach-gheal
👊🏽	dorn, dorn atá chugat, dorn atá chugat: ton cnis meánach, lámh, ton cnis meánach
👊🏾	dorn, dorn atá chugat, dorn atá chugat: ton cnis meánach-dhorcha, lámh, ton cnis meánach-dhorcha
👊🏿	dorn, dorn atá chugat, dorn atá chugat: ton cnis dorcha, lámh, ton cnis dorcha
🤛🏻	ar chlé, dorn, dorn ar chlé, dorn ar chlé: ton cnis geal, ton cnis geal
🤛🏼	ar chlé, dorn, dorn ar chlé, dorn ar chlé: ton cnis meánach-gheal, ton cnis meánach-gheal
🤛🏽	ar chlé, dorn, dorn ar chlé, dorn ar chlé: ton cnis meánach, ton cnis meánach
🤛🏾	ar chlé, dorn, dorn ar chlé, dorn ar chlé: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🤛🏿	ar chlé, dorn, dorn ar chlé, dorn ar chlé: ton cnis dorcha, ton cnis dorcha
🤜🏻	ar dheis, dorn, dorn ar dheis, dorn ar dheis: ton cnis geal, ton cnis geal
🤜🏼	ar dheis, dorn, dorn ar dheis, dorn ar dheis: ton cnis meánach-gheal, ton cnis meánach-gheal
🤜🏽	ar dheis, dorn, dorn ar dheis, dorn ar dheis: ton cnis meánach, ton cnis meánach
🤜🏾	ar dheis, dorn, dorn ar dheis, dorn ar dheis: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🤜🏿	ar dheis, dorn, dorn ar dheis, dorn ar dheis: ton cnis dorcha, ton cnis dorcha
🤚🏻	cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis geal, in airde, lámh, lámh in airde, ton cnis geal
🤚🏼	cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis meánach-gheal, in airde, lámh, lámh in airde, ton cnis meánach-gheal
🤚🏽	cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis meánach, in airde, lámh, lámh in airde, ton cnis meánach
🤚🏾	cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis meánach-dhorcha, in airde, lámh, lámh in airde, ton cnis meánach-dhorcha
🤚🏿	cúl, cúl láimhe in airde, cúl láimhe in airde: ton cnis dorcha, in airde, lámh, lámh in airde, ton cnis dorcha
👋🏻	croitheadh, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis geal, ton cnis geal
👋🏼	croitheadh, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis meánach-gheal, ton cnis meánach-gheal
👋🏽	croitheadh, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis meánach, ton cnis meánach
👋🏾	croitheadh, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👋🏿	croitheadh, lámh, lámh ag croitheadh, lámh ag croitheadh: ton cnis dorcha, ton cnis dorcha
🤟🏻	comhartha, comhartha ghrá, comhartha grá: ton cnis geal, grá, lámh, ton cnis geal, téarma ceana
🤟🏼	comhartha, comhartha ghrá, comhartha grá: ton cnis meánach-gheal, grá, lámh, ton cnis meánach-gheal, téarma ceana
🤟🏽	comhartha, comhartha ghrá, comhartha grá: ton cnis meánach, grá, lámh, ton cnis meánach, téarma ceana
🤟🏾	comhartha, comhartha ghrá, comhartha grá: ton cnis meánach-dhorcha, grá, lámh, ton cnis meánach-dhorcha, téarma ceana
🤟🏿	comhartha, comhartha ghrá, comhartha grá: ton cnis dorcha, grá, lámh, ton cnis dorcha, téarma ceana
✍🏻	corp, lámh, lámh scríbhneoireachta, lámh scríbhneoireachta: ton cnis geal, lámha scríbhneoireachta, scríobh, ton cnis geal
✍🏼	corp, lámh, lámh scríbhneoireachta, lámh scríbhneoireachta: ton cnis meánach-gheal, lámha scríbhneoireachta, scríobh, ton cnis meánach-gheal
✍🏽	corp, lámh, lámh scríbhneoireachta, lámh scríbhneoireachta: ton cnis meánach, lámha scríbhneoireachta, scríobh, ton cnis meánach
✍🏾	corp, lámh, lámh scríbhneoireachta, lámh scríbhneoireachta: ton cnis meánach-dhorcha, lámha scríbhneoireachta, scríobh, ton cnis meánach-dhorcha
✍🏿	corp, lámh, lámh scríbhneoireachta, lámh scríbhneoireachta: ton cnis dorcha, lámha scríbhneoireachta, scríobh, ton cnis dorcha
👏🏻	bualadh bos, bualadh bos: ton cnis geal, lámha, ton cnis geal
👏🏼	bualadh bos, bualadh bos: ton cnis meánach-gheal, lámha, ton cnis meánach-gheal
👏🏽	bualadh bos, bualadh bos: ton cnis meánach, lámha, ton cnis meánach
👏🏾	bualadh bos, bualadh bos: ton cnis meánach-dhorcha, lámha, ton cnis meánach-dhorcha
👏🏿	bualadh bos, bualadh bos: ton cnis dorcha, lámha, ton cnis dorcha
👐🏻	lámha, lámha ar oscailt, lámha ar oscailt: ton cnis geal, lámha oscailte, ton cnis geal
👐🏼	lámha, lámha ar oscailt, lámha ar oscailt: ton cnis meánach-gheal, lámha oscailte, ton cnis meánach-gheal
👐🏽	lámha, lámha ar oscailt, lámha ar oscailt: ton cnis meánach, lámha oscailte, ton cnis meánach
👐🏾	lámha, lámha ar oscailt, lámha ar oscailt: ton cnis meánach-dhorcha, lámha oscailte, ton cnis meánach-dhorcha
👐🏿	lámha, lámha ar oscailt, lámha ar oscailt: ton cnis dorcha, lámha oscailte, ton cnis dorcha
🙌🏻	ardú lámha, ceiliúradh, hurá, lámha ardaithe, lámha ardaithe: ton cnis geal, na lámha, ton cnis geal
🙌🏼	ardú lámha, ceiliúradh, hurá, lámha ardaithe, lámha ardaithe: ton cnis meánach-gheal, na lámha, ton cnis meánach-gheal
🙌🏽	ardú lámha, ceiliúradh, hurá, lámha ardaithe, lámha ardaithe: ton cnis meánach, na lámha, ton cnis meánach
🙌🏾	ardú lámha, ceiliúradh, hurá, lámha ardaithe, lámha ardaithe: ton cnis meánach-dhorcha, na lámha, ton cnis meánach-dhorcha
🙌🏿	ardú lámha, ceiliúradh, hurá, lámha ardaithe, lámha ardaithe: ton cnis dorcha, na lámha, ton cnis dorcha
🤲🏻	bos na láimhe ardaithe le chéile, bosa le chéile, bosa le chéile: ton cnis geal, paidir, ton cnis geal
🤲🏼	bos na láimhe ardaithe le chéile, bosa le chéile, bosa le chéile: ton cnis meánach-gheal, paidir, ton cnis meánach-gheal
🤲🏽	bos na láimhe ardaithe le chéile, bosa le chéile, bosa le chéile: ton cnis meánach, paidir, ton cnis meánach
🤲🏾	bos na láimhe ardaithe le chéile, bosa le chéile, bosa le chéile: ton cnis meánach-dhorcha, paidir, ton cnis meánach-dhorcha
🤲🏿	bos na láimhe ardaithe le chéile, bosa le chéile, bosa le chéile: ton cnis dorcha, paidir, ton cnis dorcha
🙏🏻	ag guí, guí, lámh, lámha le chéile, lámha le chéile: ton cnis geal, paidir, ton cnis geal
🙏🏼	ag guí, guí, lámh, lámha le chéile, lámha le chéile: ton cnis meánach-gheal, paidir, ton cnis meánach-gheal
🙏🏽	ag guí, guí, lámh, lámha le chéile, lámha le chéile: ton cnis meánach, paidir, ton cnis meánach
🙏🏾	ag guí, guí, lámh, lámha le chéile, lámha le chéile: ton cnis meánach-dhorcha, paidir, ton cnis meánach-dhorcha
🙏🏿	ag guí, guí, lámh, lámha le chéile, lámha le chéile: ton cnis dorcha, paidir, ton cnis dorcha
💅🏻	cosmaidí, smideadh, ton cnis geal, vearnais ingne, vearnais ingne: ton cnis geal
💅🏼	cosmaidí, smideadh, ton cnis meánach-gheal, vearnais ingne, vearnais ingne: ton cnis meánach-gheal
💅🏽	cosmaidí, smideadh, ton cnis meánach, vearnais ingne, vearnais ingne: ton cnis meánach
💅🏾	cosmaidí, smideadh, ton cnis meánach-dhorcha, vearnais ingne, vearnais ingne: ton cnis meánach-dhorcha
💅🏿	cosmaidí, smideadh, ton cnis dorcha, vearnais ingne, vearnais ingne: ton cnis dorcha
👂🏻	cluas, cluas: ton cnis geal, ton cnis geal
👂🏼	cluas, cluas: ton cnis meánach-gheal, ton cnis meánach-gheal
👂🏽	cluas, cluas: ton cnis meánach, ton cnis meánach
👂🏾	cluas, cluas: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👂🏿	cluas, cluas: ton cnis dorcha, ton cnis dorcha
👃🏻	srón, srón: ton cnis geal, ton cnis geal
👃🏼	srón, srón: ton cnis meánach-gheal, ton cnis meánach-gheal
👃🏽	srón, srón: ton cnis meánach, ton cnis meánach
👃🏾	srón, srón: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
👃🏿	srón, srón: ton cnis dorcha, ton cnis dorcha
#⃣	caipín eochrach, caipín eochrach: #
*⃣	caipín eochrach, caipín eochrach: *
🔟	caipín eochrach, caipín eochrach: 10
🇦🇨	bratach, bratach: Oileán na Deascabhála
🇦🇩	bratach, bratach: Andóra
🇦🇪	bratach, bratach: Aontas na nÉimíríochtaí Arabacha
🇦🇫	bratach, bratach: an Afganastáin
🇦🇬	bratach, bratach: Antigua agus Barbúda
🇦🇮	bratach, bratach: Angaíle
🇦🇱	bratach, bratach: an Albáin
🇦🇲	bratach, bratach: an Airméin
🇦🇴	bratach, bratach: Angóla
🇦🇶	bratach, bratach: an Antartaice
🇦🇷	bratach, bratach: an Airgintín
🇦🇸	bratach, bratach: Samó Mheiriceá
🇦🇹	bratach, bratach: an Ostair
🇦🇺	bratach, bratach: an Astráil
🇦🇼	bratach, bratach: Arúba
🇦🇽	bratach, bratach: Oileáin Åland
🇦🇿	bratach, bratach: an Asarbaiseáin
🇧🇦	bratach, bratach: an Bhoisnia agus an Heirseagaivéin
🇧🇧	bratach, bratach: Barbadós
🇧🇩	bratach, bratach: an Bhanglaidéis
🇧🇪	bratach, bratach: an Bheilg
🇧🇫	bratach, bratach: Buircíne Fasó
🇧🇬	bratach, bratach: an Bhulgáir
🇧🇭	bratach, bratach: Bairéin
🇧🇮	bratach, bratach: an Bhurúin
🇧🇯	bratach, bratach: Beinin
🇧🇱	bratach, bratach: Saint Barthélemy
🇧🇲	bratach, bratach: Beirmiúda
🇧🇳	bratach, bratach: Brúiné
🇧🇴	bratach, bratach: an Bholaiv
🇧🇶	bratach, bratach: an Ísiltír Chairibeach
🇧🇷	bratach, bratach: an Bhrasaíl
🇧🇸	bratach, bratach: na Bahámaí
🇧🇹	bratach, bratach: an Bhútáin
🇧🇻	bratach, bratach: Oileán Bouvet
🇧🇼	bratach, bratach: an Bhotsuáin
🇧🇾	bratach, bratach: an Bhealarúis
🇧🇿	bratach, bratach: an Bheilís
🇨🇦	bratach, bratach: Ceanada
🇨🇨	bratach, bratach: Oileáin Cocos (Keeling)
🇨🇩	bratach, bratach: Poblacht Dhaonlathach an Chongó
🇨🇫	bratach, bratach: Poblacht na hAfraice Láir
🇨🇬	bratach, bratach: an Congó
🇨🇭	bratach, bratach: an Eilvéis
🇨🇮	bratach, bratach: an Cósta Eabhair
🇨🇰	bratach, bratach: Oileáin Cook
🇨🇱	bratach, bratach: an tSile
🇨🇲	bratach, bratach: Camarún
🇨🇳	bratach, bratach: an tSín
🇨🇴	bratach, bratach: an Cholóim
🇨🇵	bratach, bratach: Oileán Clipperton
🇨🇷	bratach, bratach: Cósta Ríce
🇨🇺	bratach, bratach: Cúba
🇨🇻	bratach, bratach: Rinn Verde
🇨🇼	bratach, bratach: Curaçao
🇨🇽	bratach, bratach: Oileán na Nollag
🇨🇾	bratach, bratach: an Chipir
🇨🇿	bratach, bratach: An tSeicia
🇩🇪	bratach, bratach: an Ghearmáin
🇩🇬	bratach, bratach: Diego Garcia
🇩🇯	bratach, bratach: Djibouti
🇩🇰	bratach, bratach: an Danmhairg
🇩🇲	bratach, bratach: Doiminice
🇩🇴	bratach, bratach: an Phoblacht Dhoiminiceach
🇩🇿	bratach, bratach: an Ailgéir
🇪🇦	bratach, bratach: Ceuta agus Melilla
🇪🇨	bratach, bratach: Eacuadór
🇪🇪	bratach, bratach: an Eastóin
🇪🇬	bratach, bratach: an Éigipt
🇪🇭	bratach, bratach: an Sahára Thiar
🇪🇷	bratach, bratach: an Eiritré
🇪🇸	bratach, bratach: an Spáinn
🇪🇹	bratach, bratach: an Aetóip
🇪🇺	bratach, bratach: an tAontas Eorpach
🇫🇮	bratach, bratach: an Fhionlainn
🇫🇯	bratach, bratach: Fidsí
🇫🇰	bratach, bratach: Oileáin Fháclainne
🇫🇲	bratach, bratach: an Mhicrinéis
🇫🇴	bratach, bratach: Oileáin Fharó
🇫🇷	bratach, bratach: an Fhrainc
🇬🇦	bratach, bratach: an Ghabúin
🇬🇧	bratach, bratach: an Ríocht Aontaithe
🇬🇩	bratach, bratach: Greanáda
🇬🇪	bratach, bratach: an tSeoirsia
🇬🇫	bratach, bratach: Guáin na Fraince
🇬🇬	bratach, bratach: Geansaí
🇬🇭	bratach, bratach: Gána
🇬🇮	bratach, bratach: Giobráltar
🇬🇱	bratach, bratach: an Ghraonlainn
🇬🇲	bratach, bratach: an Ghaimbia
🇬🇳	bratach, bratach: an Ghuine
🇬🇵	bratach, bratach: Guadalúip
🇬🇶	bratach, bratach: an Ghuine Mheánchiorclach
🇬🇷	bratach, bratach: an Ghréig
🇬🇸	bratach, bratach: an tSeoirsia Theas agus Oileáin Sandwich Theas
🇬🇹	bratach, bratach: Guatamala
🇬🇺	bratach, bratach: Guam
🇬🇼	bratach, bratach: Guine Bissau
🇬🇾	bratach, bratach: an Ghuáin
🇭🇰	bratach, bratach: S.R.R. na Síne Hong Cong
🇭🇲	bratach, bratach: Oileán Heard agus Oileáin McDonald
🇭🇳	bratach, bratach: Hondúras
🇭🇷	bratach, bratach: an Chróit
🇭🇹	bratach, bratach: Háítí
🇭🇺	bratach, bratach: an Ungáir
🇮🇨	bratach, bratach: na hOileáin Chanáracha
🇮🇩	bratach, bratach: an Indinéis
🇮🇪	bratach, bratach: Éire
🇮🇱	bratach, bratach: Iosrael
🇮🇲	bratach, bratach: Oileán Mhanann
🇮🇳	bratach, bratach: an India
🇮🇴	bratach, bratach: Críoch Aigéan Indiach na Breataine
🇮🇶	bratach, bratach: an Iaráic
🇮🇷	bratach, bratach: an Iaráin
🇮🇸	bratach, bratach: an Íoslainn
🇮🇹	bratach, bratach: an Iodáil
🇯🇪	bratach, bratach: Geirsí
🇯🇲	bratach, bratach: Iamáice
🇯🇴	bratach, bratach: an Iordáin
🇯🇵	bratach, bratach: an tSeapáin
🇰🇪	bratach, bratach: an Chéinia
🇰🇬	bratach, bratach: an Chirgeastáin
🇰🇭	bratach, bratach: an Chambóid
🇰🇮	bratach, bratach: Cireabaití
🇰🇲	bratach, bratach: Oileáin Chomóra
🇰🇳	bratach, bratach: San Críostóir-Nimheas
🇰🇵	bratach, bratach: an Chóiré Thuaidh
🇰🇷	bratach, bratach: an Chóiré Theas
🇰🇼	bratach, bratach: Cuáit
🇰🇾	bratach, bratach: Oileáin Cayman
🇰🇿	bratach, bratach: an Chasacstáin
🇱🇦	bratach, bratach: Laos
🇱🇧	bratach, bratach: an Liobáin
🇱🇨	bratach, bratach: Saint Lucia
🇱🇮	bratach, bratach: Lichtinstéin
🇱🇰	bratach, bratach: Srí Lanca
🇱🇷	bratach, bratach: an Libéir
🇱🇸	bratach, bratach: Leosóta
🇱🇹	bratach, bratach: an Liotuáin
🇱🇺	bratach, bratach: Lucsamburg
🇱🇻	bratach, bratach: an Laitvia
🇱🇾	bratach, bratach: an Libia
🇲🇦	bratach, bratach: Maracó
🇲🇨	bratach, bratach: Monacó
🇲🇩	bratach, bratach: an Mholdóiv
🇲🇪	bratach, bratach: Montainéagró
🇲🇫	bratach, bratach: Saint-Martin
🇲🇬	bratach, bratach: Madagascar
🇲🇭	bratach, bratach: Oileáin Marshall
🇲🇰	bratach, bratach: an Mhacadóin
🇲🇱	bratach, bratach: Mailí
🇲🇲	bratach, bratach: Maenmar (Burma)
🇲🇳	bratach, bratach: an Mhongóil
🇲🇴	bratach, bratach: S.R.R. na Síne Macao
🇲🇵	bratach, bratach: na hOileáin Mháirianacha Thuaidh
🇲🇶	bratach, bratach: Martinique
🇲🇷	bratach, bratach: an Mháratáin
🇲🇸	bratach, bratach: Montsarat
🇲🇹	bratach, bratach: Málta
🇲🇺	bratach, bratach: Oileán Mhuirís
🇲🇻	bratach, bratach: Oileáin Mhaildíve
🇲🇼	bratach, bratach: an Mhaláiv
🇲🇽	bratach, bratach: Meicsiceo
🇲🇾	bratach, bratach: an Mhalaeisia
🇲🇿	bratach, bratach: Mósaimbíc
🇳🇦	bratach, bratach: an Namaib
🇳🇨	bratach, bratach: an Nua-Chaladóin
🇳🇪	bratach, bratach: an Nígir
🇳🇫	bratach, bratach: Oileán Norfolk
🇳🇬	bratach, bratach: an Nigéir
🇳🇮	bratach, bratach: Nicearagua
🇳🇱	bratach, bratach: an Ísiltír
🇳🇴	bratach, bratach: an Iorua
🇳🇵	bratach, bratach: Neipeal
🇳🇷	bratach, bratach: Nárú
