🦵🏻	جلد کی ہلکی رنگت, عضو, ٹانگ, ٹانگ: جلد کی ہلکی رنگت, ٹھوکر
🙎🏽‍♂	اداسی ظاہر کرنا, جلد کی درمیانی رنگت, مرد, منھ بسورنا, منہ بسورتا ہوا مرد, منہ بسورتا ہوا مرد: جلد کی درمیانی رنگت, ہونٹ دبانا
🙎🏾‍♂	اداسی ظاہر کرنا, جلد کی درمیانی سیاہ رنگت, مرد, منھ بسورنا, منہ بسورتا ہوا مرد, منہ بسورتا ہوا مرد: جلد کی درمیانی سیاہ رنگت, ہونٹ دبانا
🙎🏿‍♂	اداسی ظاہر کرنا, جلد کی سیاہ رنگت, مرد, منھ بسورنا, منہ بسورتا ہوا مرد, منہ بسورتا ہوا مرد: جلد کی سیاہ رنگت, ہونٹ دبانا
🙎🏻‍♀	اداسی ظاہر کرنا, جلد کی ہلکی رنگت, عورت, منھ بسورنا, منہ بسورتی ہوا عورت, منہ بسورتی ہوا عورت: جلد کی ہلکی رنگت, ہونٹ دبانا
🙎🏼‍♀	اداسی ظاہر کرنا, جلد کی درمیانی -ہلکی رنگت, عورت, منھ بسورنا, منہ بسورتی ہوا عورت, منہ بسورتی ہوا عورت: جلد کی درمیانی -ہلکی رنگت, ہونٹ دبانا
🙎🏽‍♀	اداسی ظاہر کرنا, جلد کی درمیانی رنگت, عورت, منھ بسورنا, منہ بسورتی ہوا عورت, منہ بسورتی ہوا عورت: جلد کی درمیانی رنگت, ہونٹ دبانا
🙎🏾‍♀	اداسی ظاہر کرنا, جلد کی درمیانی سیاہ رنگت, عورت, منھ بسورنا, منہ بسورتی ہوا عورت, منہ بسورتی ہوا عورت: جلد کی درمیانی سیاہ رنگت, ہونٹ دبانا
🙎🏿‍♀	اداسی ظاہر کرنا, جلد کی سیاہ رنگت, عورت, منھ بسورنا, منہ بسورتی ہوا عورت, منہ بسورتی ہوا عورت: جلد کی سیاہ رنگت, ہونٹ دبانا
🙅🏻	جلد کی ہلکی رنگت, منع کرنا, نہیں, نہیں کا اشارہ, نہیں کا اشارہ: جلد کی ہلکی رنگت, ہاتھ
🙅🏼	جلد کی درمیانی -ہلکی رنگت, منع کرنا, نہیں, نہیں کا اشارہ, نہیں کا اشارہ: جلد کی درمیانی -ہلکی رنگت, ہاتھ
🙅🏽	جلد کی درمیانی رنگت, منع کرنا, نہیں, نہیں کا اشارہ, نہیں کا اشارہ: جلد کی درمیانی رنگت, ہاتھ
🙅🏾	جلد کی درمیانی سیاہ رنگت, منع کرنا, نہیں, نہیں کا اشارہ, نہیں کا اشارہ: جلد کی درمیانی سیاہ رنگت, ہاتھ
🙅🏿	جلد کی سیاہ رنگت, منع کرنا, نہیں, نہیں کا اشارہ, نہیں کا اشارہ: جلد کی سیاہ رنگت, ہاتھ
🙅🏻‍♂	اشارہ, جلد کی ہلکی رنگت, روکنا, مرد, منع کرنا, ٹھیک نہیں ہونے کا اشارہ کرتا ہوا مرد, ٹھیک نہیں ہونے کا اشارہ کرتا ہوا مرد: جلد کی ہلکی رنگت
🙅🏼‍♂	اشارہ, جلد کی درمیانی -ہلکی رنگت, روکنا, مرد, منع کرنا, ٹھیک نہیں ہونے کا اشارہ کرتا ہوا مرد, ٹھیک نہیں ہونے کا اشارہ کرتا ہوا مرد: جلد کی درمیانی -ہلکی رنگت
🙅🏽‍♂	اشارہ, جلد کی درمیانی رنگت, روکنا, مرد, منع کرنا, ٹھیک نہیں ہونے کا اشارہ کرتا ہوا مرد, ٹھیک نہیں ہونے کا اشارہ کرتا ہوا مرد: جلد کی درمیانی رنگت
🙅🏾‍♂	اشارہ, جلد کی درمیانی سیاہ رنگت, روکنا, مرد, منع کرنا, ٹھیک نہیں ہونے کا اشارہ کرتا ہوا مرد, ٹھیک نہیں ہونے کا اشارہ کرتا ہوا مرد: جلد کی درمیانی سیاہ رنگت
🙅🏿‍♂	اشارہ, جلد کی سیاہ رنگت, روکنا, مرد, منع کرنا, ٹھیک نہیں ہونے کا اشارہ کرتا ہوا مرد, ٹھیک نہیں ہونے کا اشارہ کرتا ہوا مرد: جلد کی سیاہ رنگت
🙅🏻‍♀	اشارہ, جلد کی ہلکی رنگت, روکنا, عورت, منع کرنا, ٹھیک نہیں ہونے کا اشارہ کرتی ہوئی عورت, ٹھیک نہیں ہونے کا اشارہ کرتی ہوئی عورت: جلد کی ہلکی رنگت
🙅🏼‍♀	اشارہ, جلد کی درمیانی -ہلکی رنگت, روکنا, عورت, منع کرنا, ٹھیک نہیں ہونے کا اشارہ کرتی ہوئی عورت, ٹھیک نہیں ہونے کا اشارہ کرتی ہوئی عورت: جلد کی درمیانی -ہلکی رنگت
🙅🏽‍♀	اشارہ, جلد کی درمیانی رنگت, روکنا, عورت, منع کرنا, ٹھیک نہیں ہونے کا اشارہ کرتی ہوئی عورت, ٹھیک نہیں ہونے کا اشارہ کرتی ہوئی عورت: جلد کی درمیانی رنگت
🙅🏾‍♀	اشارہ, جلد کی درمیانی سیاہ رنگت, روکنا, عورت, منع کرنا, ٹھیک نہیں ہونے کا اشارہ کرتی ہوئی عورت, ٹھیک نہیں ہونے کا اشارہ کرتی ہوئی عورت: جلد کی درمیانی سیاہ رنگت
🙅🏿‍♀	اشارہ, جلد کی سیاہ رنگت, روکنا, عورت, منع کرنا, ٹھیک نہیں ہونے کا اشارہ کرتی ہوئی عورت, ٹھیک نہیں ہونے کا اشارہ کرتی ہوئی عورت: جلد کی سیاہ رنگت
🙆🏻	جلد کی ہلکی رنگت, ٹھیک ہے, ہاتھ, ہاں کا اشارہ, ہاں کا اشارہ: جلد کی ہلکی رنگت
🙆🏼	جلد کی درمیانی -ہلکی رنگت, ٹھیک ہے, ہاتھ, ہاں کا اشارہ, ہاں کا اشارہ: جلد کی درمیانی -ہلکی رنگت
🙆🏽	جلد کی درمیانی رنگت, ٹھیک ہے, ہاتھ, ہاں کا اشارہ, ہاں کا اشارہ: جلد کی درمیانی رنگت
🙆🏾	جلد کی درمیانی سیاہ رنگت, ٹھیک ہے, ہاتھ, ہاں کا اشارہ, ہاں کا اشارہ: جلد کی درمیانی سیاہ رنگت
🙆🏿	جلد کی سیاہ رنگت, ٹھیک ہے, ہاتھ, ہاں کا اشارہ, ہاں کا اشارہ: جلد کی سیاہ رنگت
🙆🏻‍♂	اجازت دینا, اشارہ, اوکے, جلد کی ہلکی رنگت, مرد, ٹھیک ہے کا اشارہ کرتا ہوا مرد, ٹھیک ہے کا اشارہ کرتا ہوا مرد: جلد کی ہلکی رنگت
🙆🏼‍♂	اجازت دینا, اشارہ, اوکے, جلد کی درمیانی -ہلکی رنگت, مرد, ٹھیک ہے کا اشارہ کرتا ہوا مرد, ٹھیک ہے کا اشارہ کرتا ہوا مرد: جلد کی درمیانی -ہلکی رنگت
🙆🏽‍♂	اجازت دینا, اشارہ, اوکے, جلد کی درمیانی رنگت, مرد, ٹھیک ہے کا اشارہ کرتا ہوا مرد, ٹھیک ہے کا اشارہ کرتا ہوا مرد: جلد کی درمیانی رنگت
🙆🏾‍♂	اجازت دینا, اشارہ, اوکے, جلد کی درمیانی سیاہ رنگت, مرد, ٹھیک ہے کا اشارہ کرتا ہوا مرد, ٹھیک ہے کا اشارہ کرتا ہوا مرد: جلد کی درمیانی سیاہ رنگت
🙆🏿‍♂	اجازت دینا, اشارہ, اوکے, جلد کی سیاہ رنگت, مرد, ٹھیک ہے کا اشارہ کرتا ہوا مرد, ٹھیک ہے کا اشارہ کرتا ہوا مرد: جلد کی سیاہ رنگت
🙆🏻‍♀	اجازت دینا, اشارہ, اوکے, جلد کی ہلکی رنگت, عورت, ٹھیک ہے کا اشارہ کرتی ہوئی عورت, ٹھیک ہے کا اشارہ کرتی ہوئی عورت: جلد کی ہلکی رنگت
🙆🏼‍♀	اجازت دینا, اشارہ, اوکے, جلد کی درمیانی -ہلکی رنگت, عورت, ٹھیک ہے کا اشارہ کرتی ہوئی عورت, ٹھیک ہے کا اشارہ کرتی ہوئی عورت: جلد کی درمیانی -ہلکی رنگت
🙆🏽‍♀	اجازت دینا, اشارہ, اوکے, جلد کی درمیانی رنگت, عورت, ٹھیک ہے کا اشارہ کرتی ہوئی عورت, ٹھیک ہے کا اشارہ کرتی ہوئی عورت: جلد کی درمیانی رنگت
🙆🏾‍♀	اجازت دینا, اشارہ, اوکے, جلد کی درمیانی سیاہ رنگت, عورت, ٹھیک ہے کا اشارہ کرتی ہوئی عورت, ٹھیک ہے کا اشارہ کرتی ہوئی عورت: جلد کی درمیانی سیاہ رنگت
🙆🏿‍♀	اجازت دینا, اشارہ, اوکے, جلد کی سیاہ رنگت, عورت, ٹھیک ہے کا اشارہ کرتی ہوئی عورت, ٹھیک ہے کا اشارہ کرتی ہوئی عورت: جلد کی سیاہ رنگت
💁🏻	جلد کی ہلکی رنگت, مدد, معلومات, معلوماتی ڈیسک والا بندہ, معلوماتی ڈیسک والا بندہ: جلد کی ہلکی رنگت
💁🏼	جلد کی درمیانی -ہلکی رنگت, مدد, معلومات, معلوماتی ڈیسک والا بندہ, معلوماتی ڈیسک والا بندہ: جلد کی درمیانی -ہلکی رنگت
💁🏽	جلد کی درمیانی رنگت, مدد, معلومات, معلوماتی ڈیسک والا بندہ, معلوماتی ڈیسک والا بندہ: جلد کی درمیانی رنگت
💁🏾	جلد کی درمیانی سیاہ رنگت, مدد, معلومات, معلوماتی ڈیسک والا بندہ, معلوماتی ڈیسک والا بندہ: جلد کی درمیانی سیاہ رنگت
💁🏿	جلد کی سیاہ رنگت, مدد, معلومات, معلوماتی ڈیسک والا بندہ, معلوماتی ڈیسک والا بندہ: جلد کی سیاہ رنگت
💁🏻‍♂	تجویر, تجویز دیتا ہوا مرد, تجویز دیتا ہوا مرد: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, رائے, مرد, معلومات
💁🏼‍♂	تجویر, تجویز دیتا ہوا مرد, تجویز دیتا ہوا مرد: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, رائے, مرد, معلومات
💁🏽‍♂	تجویر, تجویز دیتا ہوا مرد, تجویز دیتا ہوا مرد: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, رائے, مرد, معلومات
💁🏾‍♂	تجویر, تجویز دیتا ہوا مرد, تجویز دیتا ہوا مرد: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, رائے, مرد, معلومات
💁🏿‍♂	تجویر, تجویز دیتا ہوا مرد, تجویز دیتا ہوا مرد: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, رائے, مرد, معلومات
💁🏻‍♀	تجویر, تجویز دیتی ہوئی عورت, تجویز دیتی ہوئی عورت: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, رائے, عورت, معلومات
💁🏼‍♀	تجویر, تجویز دیتی ہوئی عورت, تجویز دیتی ہوئی عورت: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, رائے, عورت, معلومات
💁🏽‍♀	تجویر, تجویز دیتی ہوئی عورت, تجویز دیتی ہوئی عورت: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, رائے, عورت, معلومات
💁🏾‍♀	تجویر, تجویز دیتی ہوئی عورت, تجویز دیتی ہوئی عورت: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, رائے, عورت, معلومات
💁🏿‍♀	تجویر, تجویز دیتی ہوئی عورت, تجویز دیتی ہوئی عورت: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, رائے, عورت, معلومات
🙋🏻	اٹھانا, جلد کی ہلکی رنگت, خوش, ہاتھ, ہاتھ بلند کیے خوش شخص, ہاتھ بلند کیے خوش شخص: جلد کی ہلکی رنگت
🙋🏼	اٹھانا, جلد کی درمیانی -ہلکی رنگت, خوش, ہاتھ, ہاتھ بلند کیے خوش شخص, ہاتھ بلند کیے خوش شخص: جلد کی درمیانی -ہلکی رنگت
🙋🏽	اٹھانا, جلد کی درمیانی رنگت, خوش, ہاتھ, ہاتھ بلند کیے خوش شخص, ہاتھ بلند کیے خوش شخص: جلد کی درمیانی رنگت
🙋🏾	اٹھانا, جلد کی درمیانی سیاہ رنگت, خوش, ہاتھ, ہاتھ بلند کیے خوش شخص, ہاتھ بلند کیے خوش شخص: جلد کی درمیانی سیاہ رنگت
🙋🏿	اٹھانا, جلد کی سیاہ رنگت, خوش, ہاتھ, ہاتھ بلند کیے خوش شخص, ہاتھ بلند کیے خوش شخص: جلد کی سیاہ رنگت
🙋🏻‍♂	اشارہ, جلد کی ہلکی رنگت, مرد, ہاتھ اٹھاتا ہوا مرد, ہاتھ اٹھاتا ہوا مرد: جلد کی ہلکی رنگت, ہاتھ اٹھانا
🙋🏼‍♂	اشارہ, جلد کی درمیانی -ہلکی رنگت, مرد, ہاتھ اٹھاتا ہوا مرد, ہاتھ اٹھاتا ہوا مرد: جلد کی درمیانی -ہلکی رنگت, ہاتھ اٹھانا
🙋🏽‍♂	اشارہ, جلد کی درمیانی رنگت, مرد, ہاتھ اٹھاتا ہوا مرد, ہاتھ اٹھاتا ہوا مرد: جلد کی درمیانی رنگت, ہاتھ اٹھانا
🙋🏾‍♂	اشارہ, جلد کی درمیانی سیاہ رنگت, مرد, ہاتھ اٹھاتا ہوا مرد, ہاتھ اٹھاتا ہوا مرد: جلد کی درمیانی سیاہ رنگت, ہاتھ اٹھانا
🙋🏿‍♂	اشارہ, جلد کی سیاہ رنگت, مرد, ہاتھ اٹھاتا ہوا مرد, ہاتھ اٹھاتا ہوا مرد: جلد کی سیاہ رنگت, ہاتھ اٹھانا
🙋🏻‍♀	اشارہ, جلد کی ہلکی رنگت, عورت, ہاتھ اٹھاتی ہوئی عورت, ہاتھ اٹھاتی ہوئی عورت: جلد کی ہلکی رنگت, ہاتھ اٹھانا
🙋🏼‍♀	اشارہ, جلد کی درمیانی -ہلکی رنگت, عورت, ہاتھ اٹھاتی ہوئی عورت, ہاتھ اٹھاتی ہوئی عورت: جلد کی درمیانی -ہلکی رنگت, ہاتھ اٹھانا
🙋🏽‍♀	اشارہ, جلد کی درمیانی رنگت, عورت, ہاتھ اٹھاتی ہوئی عورت, ہاتھ اٹھاتی ہوئی عورت: جلد کی درمیانی رنگت, ہاتھ اٹھانا
🙋🏾‍♀	اشارہ, جلد کی درمیانی سیاہ رنگت, عورت, ہاتھ اٹھاتی ہوئی عورت, ہاتھ اٹھاتی ہوئی عورت: جلد کی درمیانی سیاہ رنگت, ہاتھ اٹھانا
🙋🏿‍♀	اشارہ, جلد کی سیاہ رنگت, عورت, ہاتھ اٹھاتی ہوئی عورت, ہاتھ اٹھاتی ہوئی عورت: جلد کی سیاہ رنگت, ہاتھ اٹھانا
