🦵🏻	gjymtyrë, këmbë, këmbë: nuancë lëkure e çelët, nuancë lëkure e çelët, shkelm
☝🏾	dorë, gisht, gisht tregues që tregon lart, gisht tregues që tregon lart: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, tregues
☝🏿	dorë, gisht, gisht tregues që tregon lart, gisht tregues që tregon lart: nuancë lëkure e errët, nuancë lëkure e errët, tregues
👆🏻	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure e çelët, gisht tregues i drejtuar lartë, nuancë lëkure e çelët, tregoj
👆🏼	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure gjysmë e çelët, gisht tregues i drejtuar lartë, nuancë lëkure gjysmë e çelët, tregoj
👆🏽	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure zeshkane, gisht tregues i drejtuar lartë, nuancë lëkure zeshkane, tregoj
👆🏾	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure gjysmë e errët, gisht tregues i drejtuar lartë, nuancë lëkure gjysmë e errët, tregoj
👆🏿	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure e errët, gisht tregues i drejtuar lartë, nuancë lëkure e errët, tregoj
🖕🏻	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure e çelët, nuancë lëkure e çelët, trup
🖕🏼	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, trup
🖕🏽	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure zeshkane, nuancë lëkure zeshkane, trup
🖕🏾	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, trup
🖕🏿	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure e errët, nuancë lëkure e errët, trup
👇🏻	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure e çelët, nuancë lëkure e çelët, tregoj
👇🏼	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, tregoj
👇🏽	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure zeshkane, nuancë lëkure zeshkane, tregoj
👇🏾	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, tregoj
👇🏿	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure e errët, nuancë lëkure e errët, tregoj
✌🏻	dora e fitores, dora e fitores: nuancë lëkure e çelët, dorë, fitore, nuancë lëkure e çelët, trup, v
✌🏼	dora e fitores, dora e fitores: nuancë lëkure gjysmë e çelët, dorë, fitore, nuancë lëkure gjysmë e çelët, trup, v
✌🏽	dora e fitores, dora e fitores: nuancë lëkure zeshkane, dorë, fitore, nuancë lëkure zeshkane, trup, v
✌🏾	dora e fitores, dora e fitores: nuancë lëkure gjysmë e errët, dorë, fitore, nuancë lëkure gjysmë e errët, trup, v
✌🏿	dora e fitores, dora e fitores: nuancë lëkure e errët, dorë, fitore, nuancë lëkure e errët, trup, v
🤞🏻	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure e çelët, kryqëzim, nuancë lëkure e çelët
🤞🏼	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure gjysmë e çelët, kryqëzim, nuancë lëkure gjysmë e çelët
🤞🏽	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure zeshkane, kryqëzim, nuancë lëkure zeshkane
🤞🏾	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure gjysmë e errët, kryqëzim, nuancë lëkure gjysmë e errët
🤞🏿	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure e errët, kryqëzim, nuancë lëkure e errët
🖖🏻	dorë, nuancë lëkure e çelët, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure e çelët, spock, vulkan
🖖🏼	dorë, nuancë lëkure gjysmë e çelët, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure gjysmë e çelët, spock, vulkan
🖖🏽	dorë, nuancë lëkure zeshkane, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure zeshkane, spock, vulkan
🖖🏾	dorë, nuancë lëkure gjysmë e errët, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure gjysmë e errët, spock, vulkan
🖖🏿	dorë, nuancë lëkure e errët, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure e errët, spock, vulkan
🤘🏻	dorë, gisht, nuancë lëkure e çelët, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure e çelët
🤘🏼	dorë, gisht, nuancë lëkure gjysmë e çelët, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure gjysmë e çelët
🤘🏽	dorë, gisht, nuancë lëkure zeshkane, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure zeshkane
🤘🏾	dorë, gisht, nuancë lëkure gjysmë e errët, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure gjysmë e errët
🤘🏿	dorë, gisht, nuancë lëkure e errët, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure e errët
🤙🏻	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure e çelët, nuancë lëkure e çelët, telefono
🤙🏼	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, telefono
🤙🏽	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure zeshkane, nuancë lëkure zeshkane, telefono
🤙🏾	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, telefono
🤙🏿	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure e errët, nuancë lëkure e errët, telefono
🖐🏻	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure e çelët, e hapur, nuancë lëkure e çelët, trup
🖐🏼	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure gjysmë e çelët, e hapur, nuancë lëkure gjysmë e çelët, trup
🖐🏽	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure zeshkane, e hapur, nuancë lëkure zeshkane, trup
🖐🏾	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure gjysmë e errët, e hapur, nuancë lëkure gjysmë e errët, trup
🖐🏿	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure e errët, e hapur, nuancë lëkure e errët, trup
✋🏻	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure e çelët, nuancë lëkure e çelët, trup
✋🏼	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, trup
✋🏽	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure zeshkane, nuancë lëkure zeshkane, trup
✋🏾	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, trup
✋🏿	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure e errët, nuancë lëkure e errët, trup
👌🏻	dorë, nuancë lëkure e çelët, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure e çelët
👌🏼	dorë, nuancë lëkure gjysmë e çelët, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure gjysmë e çelët
👌🏽	dorë, nuancë lëkure zeshkane, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure zeshkane
👌🏾	dorë, nuancë lëkure gjysmë e errët, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure gjysmë e errët
👌🏿	dorë, nuancë lëkure e errët, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure e errët
👍🏻	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure e çelët, nuancë lëkure e çelët
👍🏼	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
👍🏽	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure zeshkane, nuancë lëkure zeshkane
👍🏾	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
👍🏿	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure e errët, nuancë lëkure e errët
👎🏻	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure e çelët, nuancë lëkure e çelët, poshtë
👎🏼	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, poshtë
👎🏽	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure zeshkane, nuancë lëkure zeshkane, poshtë
👎🏾	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, poshtë
👎🏿	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure e errët, nuancë lëkure e errët, poshtë
✊🏻	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure e çelët, grushtoj, i mbledhur, nuancë lëkure e çelët
✊🏼	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure gjysmë e çelët, grushtoj, i mbledhur, nuancë lëkure gjysmë e çelët
✊🏽	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure zeshkane, grushtoj, i mbledhur, nuancë lëkure zeshkane
✊🏾	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure gjysmë e errët, grushtoj, i mbledhur, nuancë lëkure gjysmë e errët
✊🏿	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure e errët, grushtoj, i mbledhur, nuancë lëkure e errët
👊🏻	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure e çelët, grushtoj, i mbledhur, nuancë lëkure e çelët
👊🏼	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure gjysmë e çelët, grushtoj, i mbledhur, nuancë lëkure gjysmë e çelët
👊🏽	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure zeshkane, grushtoj, i mbledhur, nuancë lëkure zeshkane
👊🏾	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure gjysmë e errët, grushtoj, i mbledhur, nuancë lëkure gjysmë e errët
👊🏿	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure e errët, grushtoj, i mbledhur, nuancë lëkure e errët
🤛🏻	grusht, grusht i majtë në anën e përparme, grusht i majtë në anën e përparme: nuancë lëkure e çelët, i majtë, nuancë lëkure e çelët
🤛🏼	grusht, grusht i majtë në anën e përparme, grusht i majtë në anën e përparme: nuancë lëkure gjysmë e çelët, i majtë, nuancë lëkure gjysmë e çelët
🤛🏽	grusht, grusht i majtë në anën e përparme, grusht i majtë në anën e përparme: nuancë lëkure zeshkane, i majtë, nuancë lëkure zeshkane
🤛🏾	grusht, grusht i majtë në anën e përparme, grusht i majtë në anën e përparme: nuancë lëkure gjysmë e errët, i majtë, nuancë lëkure gjysmë e errët
🤛🏿	grusht, grusht i majtë në anën e përparme, grusht i majtë në anën e përparme: nuancë lëkure e errët, i majtë, nuancë lëkure e errët
🤜🏻	grusht, grusht i djathtë në anën e përparme, grusht i djathtë në anën e përparme: nuancë lëkure e çelët, i djathtë, nuancë lëkure e çelët
🤜🏼	grusht, grusht i djathtë në anën e përparme, grusht i djathtë në anën e përparme: nuancë lëkure gjysmë e çelët, i djathtë, nuancë lëkure gjysmë e çelët
🤜🏽	grusht, grusht i djathtë në anën e përparme, grusht i djathtë në anën e përparme: nuancë lëkure zeshkane, i djathtë, nuancë lëkure zeshkane
🤜🏾	grusht, grusht i djathtë në anën e përparme, grusht i djathtë në anën e përparme: nuancë lëkure gjysmë e errët, i djathtë, nuancë lëkure gjysmë e errët
🤜🏿	grusht, grusht i djathtë në anën e përparme, grusht i djathtë në anën e përparme: nuancë lëkure e errët, i djathtë, nuancë lëkure e errët
🤚🏻	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure e çelët, i ngritur, kurriz dore, nuancë lëkure e çelët
🤚🏼	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure gjysmë e çelët, i ngritur, kurriz dore, nuancë lëkure gjysmë e çelët
🤚🏽	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure zeshkane, i ngritur, kurriz dore, nuancë lëkure zeshkane
🤚🏾	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure gjysmë e errët, i ngritur, kurriz dore, nuancë lëkure gjysmë e errët
🤚🏿	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure e errët, i ngritur, kurriz dore, nuancë lëkure e errët
👋🏻	dorë, dorë që tundet, dorë që tundet: nuancë lëkure e çelët, nuancë lëkure e çelët, që tundet, trup, tund
👋🏼	dorë, dorë që tundet, dorë që tundet: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, që tundet, trup, tund
👋🏽	dorë, dorë që tundet, dorë që tundet: nuancë lëkure zeshkane, nuancë lëkure zeshkane, që tundet, trup, tund
👋🏾	dorë, dorë që tundet, dorë që tundet: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, që tundet, trup, tund
👋🏿	dorë, dorë që tundet, dorë që tundet: nuancë lëkure e errët, nuancë lëkure e errët, që tundet, trup, tund
🤟🏻	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure e çelët, nuancë lëkure e çelët
🤟🏼	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
🤟🏽	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure zeshkane, nuancë lëkure zeshkane
🤟🏾	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
🤟🏿	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure e errët, nuancë lëkure e errët
✍🏻	dorë, dorë që shkruan, dorë që shkruan: nuancë lëkure e çelët, nuancë lëkure e çelët, shkruaj, trup
✍🏼	dorë, dorë që shkruan, dorë që shkruan: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, shkruaj, trup
✍🏽	dorë, dorë që shkruan, dorë që shkruan: nuancë lëkure zeshkane, nuancë lëkure zeshkane, shkruaj, trup
✍🏾	dorë, dorë që shkruan, dorë që shkruan: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, shkruaj, trup
✍🏿	dorë, dorë që shkruan, dorë që shkruan: nuancë lëkure e errët, nuancë lëkure e errët, shkruaj, trup
👏🏻	dorë, duar që duartrokasin, duar që duartrokasin: nuancë lëkure e çelët, duartrokas, nuancë lëkure e çelët, trup
👏🏼	dorë, duar që duartrokasin, duar që duartrokasin: nuancë lëkure gjysmë e çelët, duartrokas, nuancë lëkure gjysmë e çelët, trup
👏🏽	dorë, duar që duartrokasin, duar që duartrokasin: nuancë lëkure zeshkane, duartrokas, nuancë lëkure zeshkane, trup
👏🏾	dorë, duar që duartrokasin, duar që duartrokasin: nuancë lëkure gjysmë e errët, duartrokas, nuancë lëkure gjysmë e errët, trup
👏🏿	dorë, duar që duartrokasin, duar që duartrokasin: nuancë lëkure e errët, duartrokas, nuancë lëkure e errët, trup
👐🏻	dorë, duar të hapura, duar të hapura: nuancë lëkure e çelët, e hapur, hap, nuancë lëkure e çelët, trup
👐🏼	dorë, duar të hapura, duar të hapura: nuancë lëkure gjysmë e çelët, e hapur, hap, nuancë lëkure gjysmë e çelët, trup
👐🏽	dorë, duar të hapura, duar të hapura: nuancë lëkure zeshkane, e hapur, hap, nuancë lëkure zeshkane, trup
👐🏾	dorë, duar të hapura, duar të hapura: nuancë lëkure gjysmë e errët, e hapur, hap, nuancë lëkure gjysmë e errët, trup
👐🏿	dorë, duar të hapura, duar të hapura: nuancë lëkure e errët, e hapur, hap, nuancë lëkure e errët, trup
🙌🏻	festim, gjest, njeri që ngre duart, njeri që ngre duart: nuancë lëkure e çelët, nuancë lëkure e çelët, urra
🙌🏼	festim, gjest, njeri që ngre duart, njeri që ngre duart: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, urra
🙌🏽	festim, gjest, njeri që ngre duart, njeri që ngre duart: nuancë lëkure zeshkane, nuancë lëkure zeshkane, urra
🙌🏾	festim, gjest, njeri që ngre duart, njeri që ngre duart: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, urra
🙌🏿	festim, gjest, njeri që ngre duart, njeri që ngre duart: nuancë lëkure e errët, nuancë lëkure e errët, urra
🤲🏻	besimtar, falje, lutje, nuancë lëkure e çelët, pëllëmbë të bashkuara, pëllëmbë të bashkuara: nuancë lëkure e çelët
🤲🏼	besimtar, falje, lutje, nuancë lëkure gjysmë e çelët, pëllëmbë të bashkuara, pëllëmbë të bashkuara: nuancë lëkure gjysmë e çelët
🤲🏽	besimtar, falje, lutje, nuancë lëkure zeshkane, pëllëmbë të bashkuara, pëllëmbë të bashkuara: nuancë lëkure zeshkane
🤲🏾	besimtar, falje, lutje, nuancë lëkure gjysmë e errët, pëllëmbë të bashkuara, pëllëmbë të bashkuara: nuancë lëkure gjysmë e errët
🤲🏿	besimtar, falje, lutje, nuancë lëkure e errët, pëllëmbë të bashkuara, pëllëmbë të bashkuara: nuancë lëkure e errët
🙏🏻	duar të mbledhura, duar të mbledhura: nuancë lëkure e çelët, faleminderit, gjest, lutje, nuancë lëkure e çelët, përkulem
🙏🏼	duar të mbledhura, duar të mbledhura: nuancë lëkure gjysmë e çelët, faleminderit, gjest, lutje, nuancë lëkure gjysmë e çelët, përkulem
🙏🏽	duar të mbledhura, duar të mbledhura: nuancë lëkure zeshkane, faleminderit, gjest, lutje, nuancë lëkure zeshkane, përkulem
🙏🏾	duar të mbledhura, duar të mbledhura: nuancë lëkure gjysmë e errët, faleminderit, gjest, lutje, nuancë lëkure gjysmë e errët, përkulem
🙏🏿	duar të mbledhura, duar të mbledhura: nuancë lëkure e errët, faleminderit, gjest, lutje, nuancë lëkure e errët, përkulem
💅🏻	kozmetikë, kujdes, lyej, manikyr, manikyr: nuancë lëkure e çelët, nuancë lëkure e çelët, thua
💅🏼	kozmetikë, kujdes, lyej, manikyr, manikyr: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, thua
💅🏽	kozmetikë, kujdes, lyej, manikyr, manikyr: nuancë lëkure zeshkane, nuancë lëkure zeshkane, thua
💅🏾	kozmetikë, kujdes, lyej, manikyr, manikyr: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, thua
💅🏿	kozmetikë, kujdes, lyej, manikyr, manikyr: nuancë lëkure e errët, nuancë lëkure e errët, thua
👂🏻	nuancë lëkure e çelët, trup, vesh, vesh: nuancë lëkure e çelët
👂🏼	nuancë lëkure gjysmë e çelët, trup, vesh, vesh: nuancë lëkure gjysmë e çelët
👂🏽	nuancë lëkure zeshkane, trup, vesh, vesh: nuancë lëkure zeshkane
👂🏾	nuancë lëkure gjysmë e errët, trup, vesh, vesh: nuancë lëkure gjysmë e errët
👂🏿	nuancë lëkure e errët, trup, vesh, vesh: nuancë lëkure e errët
👃🏻	hundë, hundë: nuancë lëkure e çelët, nuancë lëkure e çelët, trup
👃🏼	hundë, hundë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, trup
👃🏽	hundë, hundë: nuancë lëkure zeshkane, nuancë lëkure zeshkane, trup
👃🏾	hundë, hundë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, trup
👃🏿	hundë, hundë: nuancë lëkure e errët, nuancë lëkure e errët, trup
#⃣	tast, tast: #
*⃣	tast, tast: *
🔟	tast, tast: 10
🇦🇨	flamur, flamur: Ishulli Asenshion
🇦🇩	flamur, flamur: Andorrë
🇦🇪	flamur, flamur: Emiratet e Bashkuara Arabe
🇦🇫	flamur, flamur: Afganistan
🇦🇬	flamur, flamur: Antigua e Barbuda
🇦🇮	flamur, flamur: Anguilë
🇦🇱	flamur, flamur: Shqipëri
🇦🇲	flamur, flamur: Armeni
🇦🇴	flamur, flamur: Angolë
🇦🇶	flamur, flamur: Antarktikë
🇦🇷	flamur, flamur: Argjentinë
🇦🇸	flamur, flamur: Samoa Amerikane
🇦🇹	flamur, flamur: Austri
🇦🇺	flamur, flamur: Australi
🇦🇼	flamur, flamur: Arubë
🇦🇽	flamur, flamur: Ishujt Alandë
🇦🇿	flamur, flamur: Azerbajxhan
🇧🇦	flamur, flamur: Bosnjë-Hercegovinë
🇧🇧	flamur, flamur: Barbados
🇧🇩	flamur, flamur: Bangladesh
🇧🇪	flamur, flamur: Belgjikë
🇧🇫	flamur, flamur: Burkina-Faso
🇧🇬	flamur, flamur: Bullgari
🇧🇭	flamur, flamur: Bahrejn
🇧🇮	flamur, flamur: Burundi
🇧🇯	flamur, flamur: Benin
🇧🇱	flamur, flamur: Shën-Bartolome
🇧🇲	flamur, flamur: Bermudë
🇧🇳	flamur, flamur: Brunei
🇧🇴	flamur, flamur: Bolivi
🇧🇶	flamur, flamur: Karaibet holandeze
🇧🇷	flamur, flamur: Brazil
🇧🇸	flamur, flamur: Bahamas
🇧🇹	flamur, flamur: Butan
🇧🇻	flamur, flamur: Ishulli Bove
🇧🇼	flamur, flamur: Botsvanë
🇧🇾	flamur, flamur: Bjellorusi
🇧🇿	flamur, flamur: Belizë
🇨🇦	flamur, flamur: Kanada
🇨🇨	flamur, flamur: Ishujt Kokos
🇨🇩	flamur, flamur: Kongo-Kinshasa
🇨🇫	flamur, flamur: Republika e Afrikës Qendrore
🇨🇬	flamur, flamur: Kongo-Brazavilë
🇨🇭	flamur, flamur: Zvicër
🇨🇮	flamur, flamur: Côte d’Ivoire
🇨🇰	flamur, flamur: Ishujt Kuk
🇨🇱	flamur, flamur: Kili
🇨🇲	flamur, flamur: Kamerun
🇨🇳	flamur, flamur: Kinë
🇨🇴	flamur, flamur: Kolumbi
🇨🇵	flamur, flamur: Ishulli Klipërton
🇨🇷	flamur, flamur: Kosta-Rikë
🇨🇺	flamur, flamur: Kubë
🇨🇻	flamur, flamur: Kepi i Gjelbër
🇨🇼	flamur, flamur: Kuraçao
🇨🇽	flamur, flamur: Ishulli i Krishtlindjes
🇨🇾	flamur, flamur: Qipro
🇨🇿	flamur, flamur: Çeki
🇩🇪	flamur, flamur: Gjermani
🇩🇬	flamur, flamur: Diego-Garsia
🇩🇯	flamur, flamur: Xhibuti
🇩🇰	flamur, flamur: Danimarkë
🇩🇲	flamur, flamur: Dominikë
🇩🇴	flamur, flamur: Republika Dominikane
🇩🇿	flamur, flamur: Algjeri
🇪🇦	flamur, flamur: Theuta e Melila
🇪🇨	flamur, flamur: Ekuador
🇪🇪	flamur, flamur: Estoni
🇪🇬	flamur, flamur: Egjipt
🇪🇭	flamur, flamur: Saharaja Perëndimore
🇪🇷	flamur, flamur: Eritre
🇪🇸	flamur, flamur: Spanjë
🇪🇹	flamur, flamur: Etiopi
🇪🇺	flamur, flamur: Bashkimi Europian
🇫🇮	flamur, flamur: Finlandë
🇫🇯	flamur, flamur: Fixhi
🇫🇰	flamur, flamur: Ishujt Falkland
🇫🇲	flamur, flamur: Mikronezi
🇫🇴	flamur, flamur: Ishujt Faroe
🇫🇷	flamur, flamur: Francë
🇬🇦	flamur, flamur: Gabon
🇬🇧	flamur, flamur: Mbretëria e Bashkuar
🇬🇩	flamur, flamur: Grenadë
🇬🇪	flamur, flamur: Gjeorgji
🇬🇫	flamur, flamur: Guajana Franceze
🇬🇬	flamur, flamur: Gernsej
🇬🇭	flamur, flamur: Ganë
🇬🇮	flamur, flamur: Gjibraltar
🇬🇱	flamur, flamur: Grenlandë
🇬🇲	flamur, flamur: Gambia
🇬🇳	flamur, flamur: Guine
🇬🇵	flamur, flamur: Guadalupe
🇬🇶	flamur, flamur: Guineja Ekuatoriale
🇬🇷	flamur, flamur: Greqi
🇬🇸	flamur, flamur: Xhorxha Jugore dhe Ishujt Senduiçë të Jugut
🇬🇹	flamur, flamur: Guatemalë
🇬🇺	flamur, flamur: Guam
🇬🇼	flamur, flamur: Guine-Bisau
🇬🇾	flamur, flamur: Guajanë
🇭🇰	flamur, flamur: RPA i Hong-Kongut
🇭🇲	flamur, flamur: Ishujt Hërd e Mekdonald
🇭🇳	flamur, flamur: Honduras
🇭🇷	flamur, flamur: Kroaci
🇭🇹	flamur, flamur: Haiti
🇭🇺	flamur, flamur: Hungari
🇮🇨	flamur, flamur: Ishujt Kanarie
🇮🇩	flamur, flamur: Indonezi
🇮🇪	flamur, flamur: Irlandë
🇮🇱	flamur, flamur: Izrael
🇮🇲	flamur, flamur: Ishulli i Manit
🇮🇳	flamur, flamur: Indi
🇮🇴	flamur, flamur: Territori Britanik i Oqeanit Indian
🇮🇶	flamur, flamur: Irak
🇮🇷	flamur, flamur: Iran
🇮🇸	flamur, flamur: Islandë
🇮🇹	flamur, flamur: Itali
🇯🇪	flamur, flamur: Xhersej
🇯🇲	flamur, flamur: Xhamajkë
🇯🇴	flamur, flamur: Jordani
🇯🇵	flamur, flamur: Japoni
🇰🇪	flamur, flamur: Kenia
🇰🇬	flamur, flamur: Kirgistan
🇰🇭	flamur, flamur: Kamboxhia
🇰🇮	flamur, flamur: Kiribati
🇰🇲	flamur, flamur: Komore
🇰🇳	flamur, flamur: Shën-Kits dhe Nevis
🇰🇵	flamur, flamur: Koreja e Veriut
🇰🇷	flamur, flamur: Koreja e Jugut
🇰🇼	flamur, flamur: Kuvajt
🇰🇾	flamur, flamur: Ishujt Kajman
🇰🇿	flamur, flamur: Kazakistan
🇱🇦	flamur, flamur: Laos
🇱🇧	flamur, flamur: Liban
🇱🇨	flamur, flamur: Shën-Luçia
🇱🇮	flamur, flamur: Lihtenshtajn
🇱🇰	flamur, flamur: Sri-Lankë
🇱🇷	flamur, flamur: Liberi
🇱🇸	flamur, flamur: Lesoto
🇱🇹	flamur, flamur: Lituani
🇱🇺	flamur, flamur: Luksemburg
🇱🇻	flamur, flamur: Letoni
🇱🇾	flamur, flamur: Libi
🇲🇦	flamur, flamur: Marok
🇲🇨	flamur, flamur: Monako
🇲🇩	flamur, flamur: Moldavi
🇲🇪	flamur, flamur: Mal i Zi
🇲🇫	flamur, flamur: Shën-Martin
🇲🇬	flamur, flamur: Madagaskar
🇲🇭	flamur, flamur: Ishujt Marshall
🇲🇰	flamur, flamur: Maqedoni
🇲🇱	flamur, flamur: Mali
🇲🇲	flamur, flamur: Mianmar (Burma)
🇲🇳	flamur, flamur: Mongoli
🇲🇴	flamur, flamur: RPA i Makaos
🇲🇵	flamur, flamur: Ishujt e Marianës Veriore
