‾	tapae
🙆🏿	kiri āhua parauri, ringa, tangata tohu ana ĀE, tangata tohu ana ĀE: kiri āhua parauri, tohu ā-ringa, ĀE
🙆‍♂	ringa, tohu ā-ringa, tāne, tāne tohu ana ĀE, ĀE
🙆🏻‍♂	kiri āhua māmā, ringa, tohu ā-ringa, tāne, tāne tohu ana ĀE, tāne tohu ana ĀE: kiri āhua māmā, ĀE
🙆🏼‍♂	kiri āhua māmā-waenga, ringa, tohu ā-ringa, tāne, tāne tohu ana ĀE, tāne tohu ana ĀE: kiri āhua māmā-waenga, ĀE
🙆🏽‍♂	kiri āhua waenga, ringa, tohu ā-ringa, tāne, tāne tohu ana ĀE, tāne tohu ana ĀE: kiri āhua waenga, ĀE
🙆🏾‍♂	kiri āhua waenga-parauri, ringa, tohu ā-ringa, tāne, tāne tohu ana ĀE, tāne tohu ana ĀE: kiri āhua waenga-parauri, ĀE
🙆🏿‍♂	kiri āhua parauri, ringa, tohu ā-ringa, tāne, tāne tohu ana ĀE, tāne tohu ana ĀE: kiri āhua parauri, ĀE
🙆‍♀	ringa, tohu ā-ringa, wahine, wahine tohu ana ĀE, ĀE
🙆🏻‍♀	kiri āhua māmā, ringa, tohu ā-ringa, wahine, wahine tohu ana ĀE, wahine tohu ana ĀE: kiri āhua māmā, ĀE
🙆🏼‍♀	kiri āhua māmā-waenga, ringa, tohu ā-ringa, wahine, wahine tohu ana ĀE, wahine tohu ana ĀE: kiri āhua māmā-waenga, ĀE
🙆🏽‍♀	kiri āhua waenga, ringa, tohu ā-ringa, wahine, wahine tohu ana ĀE, wahine tohu ana ĀE: kiri āhua waenga, ĀE
🙆🏾‍♀	kiri āhua waenga-parauri, ringa, tohu ā-ringa, wahine, wahine tohu ana ĀE, wahine tohu ana ĀE: kiri āhua waenga-parauri, ĀE
🙆🏿‍♀	kiri āhua parauri, ringa, tohu ā-ringa, wahine, wahine tohu ana ĀE, wahine tohu ana ĀE: kiri āhua parauri, ĀE
💁	mōhiohio, ringa, tangata ringa tāringi, tāringi, whakatete, āwhina
💁🏻	kiri āhua māmā, mōhiohio, ringa, tangata ringa tāringi, tangata ringa tāringi: kiri āhua māmā, tāringi, whakatete, āwhina
💁🏼	kiri āhua māmā-waenga, mōhiohio, ringa, tangata ringa tāringi, tangata ringa tāringi: kiri āhua māmā-waenga, tāringi, whakatete, āwhina
💁🏽	kiri āhua waenga, mōhiohio, ringa, tangata ringa tāringi, tangata ringa tāringi: kiri āhua waenga, tāringi, whakatete, āwhina
💁🏾	kiri āhua waenga-parauri, mōhiohio, ringa, tangata ringa tāringi, tangata ringa tāringi: kiri āhua waenga-parauri, tāringi, whakatete, āwhina
💁🏿	kiri āhua parauri, mōhiohio, ringa, tangata ringa tāringi, tangata ringa tāringi: kiri āhua parauri, tāringi, whakatete, āwhina
💁‍♂	ringa tāringi, tāne, tāne ringa tāringi, whakatete
💁🏻‍♂	kiri āhua māmā, ringa tāringi, tāne, tāne ringa tāringi, tāne ringa tāringi: kiri āhua māmā, whakatete
💁🏼‍♂	kiri āhua māmā-waenga, ringa tāringi, tāne, tāne ringa tāringi, tāne ringa tāringi: kiri āhua māmā-waenga, whakatete
💁🏽‍♂	kiri āhua waenga, ringa tāringi, tāne, tāne ringa tāringi, tāne ringa tāringi: kiri āhua waenga, whakatete
💁🏾‍♂	kiri āhua waenga-parauri, ringa tāringi, tāne, tāne ringa tāringi, tāne ringa tāringi: kiri āhua waenga-parauri, whakatete
💁🏿‍♂	kiri āhua parauri, ringa tāringi, tāne, tāne ringa tāringi, tāne ringa tāringi: kiri āhua parauri, whakatete
💁‍♀	ringa tāringi, wahine, wahine ringa tāringi, whakatete
💁🏻‍♀	kiri āhua māmā, ringa tāringi, wahine, wahine ringa tāringi, wahine ringa tāringi: kiri āhua māmā, whakatete
💁🏼‍♀	kiri āhua māmā-waenga, ringa tāringi, wahine, wahine ringa tāringi, wahine ringa tāringi: kiri āhua māmā-waenga, whakatete
💁🏽‍♀	kiri āhua waenga, ringa tāringi, wahine, wahine ringa tāringi, wahine ringa tāringi: kiri āhua waenga, whakatete
💁🏾‍♀	kiri āhua waenga-parauri, ringa tāringi, wahine, wahine ringa tāringi, wahine ringa tāringi: kiri āhua waenga-parauri, whakatete
💁🏿‍♀	kiri āhua parauri, ringa tāringi, wahine, wahine ringa tāringi, wahine ringa tāringi: kiri āhua parauri, whakatete
🙋	koa, ringa, tangata ringa tū, tohu ā-ringa, tū
🙋🏻	kiri āhua māmā, koa, ringa, tangata ringa tū, tangata ringa tū: kiri āhua māmā, tohu ā-ringa, tū
🙋🏼	kiri āhua māmā-waenga, koa, ringa, tangata ringa tū, tangata ringa tū: kiri āhua māmā-waenga, tohu ā-ringa, tū
🙋🏽	kiri āhua waenga, koa, ringa, tangata ringa tū, tangata ringa tū: kiri āhua waenga, tohu ā-ringa, tū
🙋🏾	kiri āhua waenga-parauri, koa, ringa, tangata ringa tū, tangata ringa tū: kiri āhua waenga-parauri, tohu ā-ringa, tū
🙋🏿	kiri āhua parauri, koa, ringa, tangata ringa tū, tangata ringa tū: kiri āhua parauri, tohu ā-ringa, tū
🙋‍♂	ringa tū, tohu ā-ringa, tāne, tāne ringa tū
🙋🏻‍♂	kiri āhua māmā, ringa tū, tohu ā-ringa, tāne, tāne ringa tū, tāne ringa tū: kiri āhua māmā
🙋🏼‍♂	kiri āhua māmā-waenga, ringa tū, tohu ā-ringa, tāne, tāne ringa tū, tāne ringa tū: kiri āhua māmā-waenga
🙋🏽‍♂	kiri āhua waenga, ringa tū, tohu ā-ringa, tāne, tāne ringa tū, tāne ringa tū: kiri āhua waenga
🙋🏾‍♂	kiri āhua waenga-parauri, ringa tū, tohu ā-ringa, tāne, tāne ringa tū, tāne ringa tū: kiri āhua waenga-parauri
🙋🏿‍♂	kiri āhua parauri, ringa tū, tohu ā-ringa, tāne, tāne ringa tū, tāne ringa tū: kiri āhua parauri
🙋‍♀	ringa tū, tohu ā-ringa, wahine, wahine ringa tū
🙋🏻‍♀	kiri āhua māmā, ringa tū, tohu ā-ringa, wahine, wahine ringa tū, wahine ringa tū: kiri āhua māmā
🙋🏼‍♀	kiri āhua māmā-waenga, ringa tū, tohu ā-ringa, wahine, wahine ringa tū, wahine ringa tū: kiri āhua māmā-waenga
🙋🏽‍♀	kiri āhua waenga, ringa tū, tohu ā-ringa, wahine, wahine ringa tū, wahine ringa tū: kiri āhua waenga
🙋🏾‍♀	kiri āhua waenga-parauri, ringa tū, tohu ā-ringa, wahine, wahine ringa tū, wahine ringa tū: kiri āhua waenga-parauri
🙋🏿‍♀	kiri āhua parauri, ringa tū, tohu ā-ringa, wahine, wahine ringa tū, wahine ringa tū: kiri āhua parauri
🙇	aroha, tangata tuohu, tohu, tuohu, whakapāha
🙇🏻	aroha, kiri āhua māmā, tangata tuohu, tangata tuohu: kiri āhua māmā, tohu, tuohu, whakapāha
🙇🏼	aroha, kiri āhua māmā-waenga, tangata tuohu, tangata tuohu: kiri āhua māmā-waenga, tohu, tuohu, whakapāha
🙇🏽	aroha, kiri āhua waenga, tangata tuohu, tangata tuohu: kiri āhua waenga, tohu, tuohu, whakapāha
🙇🏾	aroha, kiri āhua waenga-parauri, tangata tuohu, tangata tuohu: kiri āhua waenga-parauri, tohu, tuohu, whakapāha
🙇🏿	aroha, kiri āhua parauri, tangata tuohu, tangata tuohu: kiri āhua parauri, tohu, tuohu, whakapāha
🙇‍♂	aroha, tohu, tuohu, tāne, tāne tuohu, whakapai, whakapāha
🙇🏻‍♂	aroha, kiri āhua māmā, tohu, tuohu, tāne, tāne tuohu: kiri āhua māmā, whakapai, whakapāha
🙇🏼‍♂	aroha, kiri āhua māmā-waenga, tohu, tuohu, tāne, tāne tuohu: kiri āhua māmā-waenga, whakapai, whakapāha
🙇🏽‍♂	aroha, kiri āhua waenga, tohu, tuohu, tāne, tāne tuohu: kiri āhua waenga, whakapai, whakapāha
🙇🏾‍♂	aroha, kiri āhua waenga-parauri, tohu, tuohu, tāne, tāne tuohu: kiri āhua waenga-parauri, whakapai, whakapāha
🙇🏿‍♂	aroha, kiri āhua parauri, tohu, tuohu, tāne, tāne tuohu: kiri āhua parauri, whakapai, whakapāha
🙇‍♀	aroha, tohu, tuohu, wahine, wahine tuohu, whakapai, whakapāha
🙇🏻‍♀	aroha, kiri āhua māmā, tohu, tuohu, wahine, wahine tuohu: kiri āhua māmā, whakapai, whakapāha
🙇🏼‍♀	aroha, kiri āhua māmā-waenga, tohu, tuohu, wahine, wahine tuohu: kiri āhua māmā-waenga, whakapai, whakapāha
🙇🏽‍♀	aroha, kiri āhua waenga, tohu, tuohu, wahine, wahine tuohu: kiri āhua waenga, whakapai, whakapāha
🙇🏾‍♀	aroha, kiri āhua waenga-parauri, tohu, tuohu, wahine, wahine tuohu: kiri āhua waenga-parauri, whakapai, whakapāha
🙇🏿‍♀	aroha, kiri āhua parauri, tohu, tuohu, wahine, wahine tuohu: kiri āhua parauri, whakapai, whakapāha
🤦	hohoia, kanohi, kapu o te ringa, tangata ringakanohi, whakaparau
🤦🏻	hohoia, kanohi, kapu o te ringa, kiri āhua māmā, tangata ringakanohi, tangata ringakanohi: kiri āhua māmā, whakaparau
🤦🏼	hohoia, kanohi, kapu o te ringa, kiri āhua māmā-waenga, tangata ringakanohi, tangata ringakanohi: kiri āhua māmā-waenga, whakaparau
🤦🏽	hohoia, kanohi, kapu o te ringa, kiri āhua waenga, tangata ringakanohi, tangata ringakanohi: kiri āhua waenga, whakaparau
🤦🏾	hohoia, kanohi, kapu o te ringa, kiri āhua waenga-parauri, tangata ringakanohi, tangata ringakanohi: kiri āhua waenga-parauri, whakaparau
🤦🏿	hohoia, kanohi, kapu o te ringa, kiri āhua parauri, tangata ringakanohi, tangata ringakanohi: kiri āhua parauri, whakaparau
🤦‍♂	hohoia, ringakanohi, tāne, tāne ringakanohi, whakaparau
🤦🏻‍♂	hohoia, kiri āhua māmā, ringakanohi, tāne, tāne ringakanohi: kiri āhua māmā, whakaparau
🤦🏼‍♂	hohoia, kiri āhua māmā-waenga, ringakanohi, tāne, tāne ringakanohi: kiri āhua māmā-waenga, whakaparau
🤦🏽‍♂	hohoia, kiri āhua waenga, ringakanohi, tāne, tāne ringakanohi: kiri āhua waenga, whakaparau
🤦🏾‍♂	hohoia, kiri āhua waenga-parauri, ringakanohi, tāne, tāne ringakanohi: kiri āhua waenga-parauri, whakaparau
🤦🏿‍♂	hohoia, kiri āhua parauri, ringakanohi, tāne, tāne ringakanohi: kiri āhua parauri, whakaparau
🤦‍♀	hohoia, ringakanohi, wahine, wahine ringakanohi, whakaparau
🤦🏻‍♀	hohoia, kiri āhua māmā, ringakanohi, wahine, wahine ringakanohi: kiri āhua māmā, whakaparau
🤦🏼‍♀	hohoia, kiri āhua māmā-waenga, ringakanohi, wahine, wahine ringakanohi: kiri āhua māmā-waenga, whakaparau
🤦🏽‍♀	hohoia, kiri āhua waenga, ringakanohi, wahine, wahine ringakanohi: kiri āhua waenga, whakaparau
🤦🏾‍♀	hohoia, kiri āhua waenga-parauri, ringakanohi, wahine, wahine ringakanohi: kiri āhua waenga-parauri, whakaparau
🤦🏿‍♀	hohoia, kiri āhua parauri, ringakanohi, wahine, wahine ringakanohi: kiri āhua parauri, whakaparau
🤷	haumāruru, hiki-pakihiwi, kūare, rangirua, tangata hiki-pakihiwi
🤷🏻	haumāruru, hiki-pakihiwi, kiri āhua māmā, kūare, rangirua, tangata hiki-pakihiwi, tangata hiki-pakihiwi: kiri āhua māmā
🤷🏼	haumāruru, hiki-pakihiwi, kiri āhua māmā-waenga, kūare, rangirua, tangata hiki-pakihiwi, tangata hiki-pakihiwi: kiri āhua māmā-waenga
🤷🏽	haumāruru, hiki-pakihiwi, kiri āhua waenga, kūare, rangirua, tangata hiki-pakihiwi, tangata hiki-pakihiwi: kiri āhua waenga
🤷🏾	haumāruru, hiki-pakihiwi, kiri āhua waenga-parauri, kūare, rangirua, tangata hiki-pakihiwi, tangata hiki-pakihiwi: kiri āhua waenga-parauri
🤷🏿	haumāruru, hiki-pakihiwi, kiri āhua parauri, kūare, rangirua, tangata hiki-pakihiwi, tangata hiki-pakihiwi: kiri āhua parauri
🤷‍♂	haumāruru, hiki-pakihiwi, kūare, rangirua, tāne, tāne hiki-pakihiwi
🤷🏻‍♂	haumāruru, hiki-pakihiwi, kiri āhua māmā, kūare, rangirua, tāne, tāne hiki-pakihiwi: kiri āhua māmā
🤷🏼‍♂	haumāruru, hiki-pakihiwi, kiri āhua māmā-waenga, kūare, rangirua, tāne, tāne hiki-pakihiwi: kiri āhua māmā-waenga
🤷🏽‍♂	haumāruru, hiki-pakihiwi, kiri āhua waenga, kūare, rangirua, tāne, tāne hiki-pakihiwi: kiri āhua waenga
🤷🏾‍♂	haumāruru, hiki-pakihiwi, kiri āhua waenga-parauri, kūare, rangirua, tāne, tāne hiki-pakihiwi: kiri āhua waenga-parauri
🤷🏿‍♂	haumāruru, hiki-pakihiwi, kiri āhua parauri, kūare, rangirua, tāne, tāne hiki-pakihiwi: kiri āhua parauri
🤷‍♀	haumāruru, hiki-pakihiwi, kūare, rangirua, wahine, wahine hiki-pakihiwi
🤷🏻‍♀	haumāruru, hiki-pakihiwi, kiri āhua māmā, kūare, rangirua, wahine, wahine hiki-pakihiwi: kiri āhua māmā
🤷🏼‍♀	haumāruru, hiki-pakihiwi, kiri āhua māmā-waenga, kūare, rangirua, wahine, wahine hiki-pakihiwi: kiri āhua māmā-waenga
🤷🏽‍♀	haumāruru, hiki-pakihiwi, kiri āhua waenga, kūare, rangirua, wahine, wahine hiki-pakihiwi: kiri āhua waenga
🤷🏾‍♀	haumāruru, hiki-pakihiwi, kiri āhua waenga-parauri, kūare, rangirua, wahine, wahine hiki-pakihiwi: kiri āhua waenga-parauri
🤷🏿‍♀	haumāruru, hiki-pakihiwi, kiri āhua parauri, kūare, rangirua, wahine, wahine hiki-pakihiwi: kiri āhua parauri
👨‍⚕	atawhai hauora, kaimahi hauora tāne, kaiwhakaora, rata, tapuhi, tāne
👨🏻‍⚕	atawhai hauora, kaimahi hauora tāne, kaimahi hauora tāne: kiri āhua māmā, kaiwhakaora, kiri āhua māmā, rata, tapuhi, tāne
👨🏼‍⚕	atawhai hauora, kaimahi hauora tāne, kaimahi hauora tāne: kiri āhua māmā-waenga, kaiwhakaora, kiri āhua māmā-waenga, rata, tapuhi, tāne
👨🏽‍⚕	atawhai hauora, kaimahi hauora tāne, kaimahi hauora tāne: kiri āhua waenga, kaiwhakaora, kiri āhua waenga, rata, tapuhi, tāne
👨🏾‍⚕	atawhai hauora, kaimahi hauora tāne, kaimahi hauora tāne: kiri āhua waenga-parauri, kaiwhakaora, kiri āhua waenga-parauri, rata, tapuhi, tāne
👨🏿‍⚕	atawhai hauora, kaimahi hauora tāne, kaimahi hauora tāne: kiri āhua parauri, kaiwhakaora, kiri āhua parauri, rata, tapuhi, tāne
👩‍⚕	atawhai hauora, kaiwhakaora, rata, tapuhi, wahine, wahine atawhai hauora
👩🏻‍⚕	atawhai hauora, kaiwhakaora, kiri āhua māmā, rata, tapuhi, wahine, wahine atawhai hauora, wahine atawhai hauora: kiri āhua māmā
👩🏼‍⚕	atawhai hauora, kaiwhakaora, kiri āhua māmā-waenga, rata, tapuhi, wahine, wahine atawhai hauora, wahine atawhai hauora: kiri āhua māmā-waenga
👩🏽‍⚕	atawhai hauora, kaiwhakaora, kiri āhua waenga, rata, tapuhi, wahine, wahine atawhai hauora, wahine atawhai hauora: kiri āhua waenga
👩🏾‍⚕	atawhai hauora, kaiwhakaora, kiri āhua waenga-parauri, rata, tapuhi, wahine, wahine atawhai hauora, wahine atawhai hauora: kiri āhua waenga-parauri
👩🏿‍⚕	atawhai hauora, kaiwhakaora, kiri āhua parauri, rata, tapuhi, wahine, wahine atawhai hauora, wahine atawhai hauora: kiri āhua parauri
👨‍🎓	paetahi, tāne, ākonga, ākonga tāne
👨🏻‍🎓	kiri āhua māmā, paetahi, tāne, ākonga, ākonga tāne: kiri āhua māmā
👨🏼‍🎓	kiri āhua māmā-waenga, paetahi, tāne, ākonga, ākonga tāne: kiri āhua māmā-waenga
👨🏽‍🎓	kiri āhua waenga, paetahi, tāne, ākonga, ākonga tāne: kiri āhua waenga
👨🏾‍🎓	kiri āhua waenga-parauri, paetahi, tāne, ākonga, ākonga tāne: kiri āhua waenga-parauri
👨🏿‍🎓	kiri āhua parauri, paetahi, tāne, ākonga, ākonga tāne: kiri āhua parauri
👩‍🎓	paetahi, wahine, ākonga, ākonga wahine
👩🏻‍🎓	kiri āhua māmā, paetahi, wahine, ākonga, ākonga wahine: kiri āhua māmā
👩🏼‍🎓	kiri āhua māmā-waenga, paetahi, wahine, ākonga, ākonga wahine: kiri āhua māmā-waenga
👩🏽‍🎓	kiri āhua waenga, paetahi, wahine, ākonga, ākonga wahine: kiri āhua waenga
👩🏾‍🎓	kiri āhua waenga-parauri, paetahi, wahine, ākonga, ākonga wahine: kiri āhua waenga-parauri
👩🏿‍🎓	kiri āhua parauri, paetahi, wahine, ākonga, ākonga wahine: kiri āhua parauri
👨‍🏫	kaiako, kaitohutohu, mātanga, tāne, tāne kaiako
👨🏻‍🏫	kaiako, kaitohutohu, kiri āhua māmā, mātanga, tāne, tāne kaiako: kiri āhua māmā
👨🏼‍🏫	kaiako, kaitohutohu, kiri āhua māmā-waenga, mātanga, tāne, tāne kaiako: kiri āhua māmā-waenga
👨🏽‍🏫	kaiako, kaitohutohu, kiri āhua waenga, mātanga, tāne, tāne kaiako: kiri āhua waenga
👨🏾‍🏫	kaiako, kaitohutohu, kiri āhua waenga-parauri, mātanga, tāne, tāne kaiako: kiri āhua waenga-parauri
👨🏿‍🏫	kaiako, kaitohutohu, kiri āhua parauri, mātanga, tāne, tāne kaiako: kiri āhua parauri
👩‍🏫	kaiako, kaiako wahine, kaitohutohu, mātanga, wahine
👩🏻‍🏫	kaiako, kaiako wahine: kiri āhua māmā, kaitohutohu, kiri āhua māmā, mātanga, wahine
👩🏼‍🏫	kaiako, kaiako wahine: kiri āhua māmā-waenga, kaitohutohu, kiri āhua māmā-waenga, mātanga, wahine
👩🏽‍🏫	kaiako, kaiako wahine: kiri āhua waenga, kaitohutohu, kiri āhua waenga, mātanga, wahine
👩🏾‍🏫	kaiako, kaiako wahine: kiri āhua waenga-parauri, kaitohutohu, kiri āhua waenga-parauri, mātanga, wahine
👩🏿‍🏫	kaiako, kaiako wahine: kiri āhua parauri, kaitohutohu, kiri āhua parauri, mātanga, wahine
👨‍⚖	kaiwhakawā tāne, te whakawā, tāne, whārite
👨🏻‍⚖	kaiwhakawā tāne, kaiwhakawā tāne: kiri āhua māmā, kiri āhua māmā, te whakawā, tāne, whārite
👨🏼‍⚖	kaiwhakawā tāne, kaiwhakawā tāne: kiri āhua māmā-waenga, kiri āhua māmā-waenga, te whakawā, tāne, whārite
👨🏽‍⚖	kaiwhakawā tāne, kaiwhakawā tāne: kiri āhua waenga, kiri āhua waenga, te whakawā, tāne, whārite
👨🏾‍⚖	kaiwhakawā tāne, kaiwhakawā tāne: kiri āhua waenga-parauri, kiri āhua waenga-parauri, te whakawā, tāne, whārite
👨🏿‍⚖	kaiwhakawā tāne, kaiwhakawā tāne: kiri āhua parauri, kiri āhua parauri, te whakawā, tāne, whārite
👩‍⚖	kaiwhakawā, kaiwhakawā wahine, wahine, whārite
👩🏻‍⚖	kaiwhakawā, kaiwhakawā wahine: kiri āhua māmā, kiri āhua māmā, wahine, whārite
👩🏼‍⚖	kaiwhakawā, kaiwhakawā wahine: kiri āhua māmā-waenga, kiri āhua māmā-waenga, wahine, whārite
👩🏽‍⚖	kaiwhakawā, kaiwhakawā wahine: kiri āhua waenga, kiri āhua waenga, wahine, whārite
👩🏾‍⚖	kaiwhakawā, kaiwhakawā wahine: kiri āhua waenga-parauri, kiri āhua waenga-parauri, wahine, whārite
👩🏿‍⚖	kaiwhakawā, kaiwhakawā wahine: kiri āhua parauri, kiri āhua parauri, wahine, whārite
👨‍🌾	kaimahi oneone, kaipāmu, kaipāmu tāne, kairāti, tāne
👨🏻‍🌾	kaimahi oneone, kaipāmu, kaipāmu tāne: kiri āhua māmā, kairāti, kiri āhua māmā, tāne
👨🏼‍🌾	kaimahi oneone, kaipāmu, kaipāmu tāne: kiri āhua māmā-waenga, kairāti, kiri āhua māmā-waenga, tāne
👨🏽‍🌾	kaimahi oneone, kaipāmu, kaipāmu tāne: kiri āhua waenga, kairāti, kiri āhua waenga, tāne
👨🏾‍🌾	kaimahi oneone, kaipāmu, kaipāmu tāne: kiri āhua waenga-parauri, kairāti, kiri āhua waenga-parauri, tāne
👨🏿‍🌾	kaimahi oneone, kaipāmu, kaipāmu tāne: kiri āhua parauri, kairāti, kiri āhua parauri, tāne
👩‍🌾	kaimahi oneone, kaipāmu, kairāti, wahine, wahine kaipāmu
👩🏻‍🌾	kaimahi oneone, kaipāmu, kairāti, kiri āhua māmā, wahine, wahine kaipāmu: kiri āhua māmā
👩🏼‍🌾	kaimahi oneone, kaipāmu, kairāti, kiri āhua māmā-waenga, wahine, wahine kaipāmu: kiri āhua māmā-waenga
👩🏽‍🌾	kaimahi oneone, kaipāmu, kairāti, kiri āhua waenga, wahine, wahine kaipāmu: kiri āhua waenga
👩🏾‍🌾	kaimahi oneone, kaipāmu, kairāti, kiri āhua waenga-parauri, wahine, wahine kaipāmu: kiri āhua waenga-parauri
👩🏿‍🌾	kaimahi oneone, kaipāmu, kairāti, kiri āhua parauri, wahine, wahine kaipāmu: kiri āhua parauri
👨‍🍳	kaitaka kai, kaitao, kaitao tāne, tāne
👨🏻‍🍳	kaitaka kai, kaitao, kaitao tāne: kiri āhua māmā, kiri āhua māmā, tāne
👨🏼‍🍳	kaitaka kai, kaitao, kaitao tāne: kiri āhua māmā-waenga, kiri āhua māmā-waenga, tāne
👨🏽‍🍳	kaitaka kai, kaitao, kaitao tāne: kiri āhua waenga, kiri āhua waenga, tāne
👨🏾‍🍳	kaitaka kai, kaitao, kaitao tāne: kiri āhua waenga-parauri, kiri āhua waenga-parauri, tāne
👨🏿‍🍳	kaitaka kai, kaitao, kaitao tāne: kiri āhua parauri, kiri āhua parauri, tāne
👩‍🍳	kaitaka kai, kaitao, kaitao wahine, wahine
👩🏻‍🍳	kaitaka kai, kaitao, kaitao wahine: kiri āhua māmā, kiri āhua māmā, wahine
