‾	apɔju
🙆🏼‍♀	amɔ́lára díɛ̀, fowɔ́júwè, obìnrin, obìnrin tí ń sɔ ÓDÁRA, obìnrin tí ń sɔ ÓDÁRA: amɔ́lára díɛ̀, ÓDÁRA, ɔwɔ́
🙆🏽‍♀	amɔ́láwɔ̀ díɛ̀, fowɔ́júwè, obìnrin, obìnrin tí ń sɔ ÓDÁRA, obìnrin tí ń sɔ ÓDÁRA: amɔ́láwɔ̀ díɛ̀, ÓDÁRA, ɔwɔ́
🙆🏾‍♀	adúláwɔ̀ díɛ̀, fowɔ́júwè, obìnrin, obìnrin tí ń sɔ ÓDÁRA, obìnrin tí ń sɔ ÓDÁRA: adúláwɔ̀ díɛ̀, ÓDÁRA, ɔwɔ́
🙆🏿‍♀	adúláwɔ̀, fowɔ́júwè, obìnrin, obìnrin tí ń sɔ ÓDÁRA, obìnrin tí ń sɔ ÓDÁRA: adúláwɔ̀, ÓDÁRA, ɔwɔ́
💁	tɔ́ka, ìrànwɔ́, ìròyìn, Ɛni N Tɔka Ɔwɔ, ɔlɔyaya, ɔwɔ́
💁🏻	amɔ́lára, tɔ́ka, ìrànwɔ́, ìròyìn, Ɛni N Tɔka Ɔwɔ, Ɛni N Tɔka Ɔwɔ: amɔ́lára, ɔlɔyaya, ɔwɔ́
💁🏼	amɔ́lára díɛ̀, tɔ́ka, ìrànwɔ́, ìròyìn, Ɛni N Tɔka Ɔwɔ, Ɛni N Tɔka Ɔwɔ: amɔ́lára díɛ̀, ɔlɔyaya, ɔwɔ́
💁🏽	amɔ́láwɔ̀ díɛ̀, tɔ́ka, ìrànwɔ́, ìròyìn, Ɛni N Tɔka Ɔwɔ, Ɛni N Tɔka Ɔwɔ: amɔ́láwɔ̀ díɛ̀, ɔlɔyaya, ɔwɔ́
💁🏾	adúláwɔ̀ díɛ̀, tɔ́ka, ìrànwɔ́, ìròyìn, Ɛni N Tɔka Ɔwɔ, Ɛni N Tɔka Ɔwɔ: adúláwɔ̀ díɛ̀, ɔlɔyaya, ɔwɔ́
💁🏿	adúláwɔ̀, tɔ́ka, ìrànwɔ́, ìròyìn, Ɛni N Tɔka Ɔwɔ, Ɛni N Tɔka Ɔwɔ: adúláwɔ̀, ɔlɔyaya, ɔwɔ́
💁‍♂	sassy, taka ɔwɔ́, ɔkùnrin, ɔkùnrin tí ń tɔ́ka ɔwɔ́
💁🏻‍♂	amɔ́lára, sassy, taka ɔwɔ́, ɔkùnrin, ɔkùnrin tí ń tɔ́ka ɔwɔ́, ɔkùnrin tí ń tɔ́ka ɔwɔ́: amɔ́lára
💁🏼‍♂	amɔ́lára díɛ̀, sassy, taka ɔwɔ́, ɔkùnrin, ɔkùnrin tí ń tɔ́ka ɔwɔ́, ɔkùnrin tí ń tɔ́ka ɔwɔ́: amɔ́lára díɛ̀
💁🏽‍♂	amɔ́láwɔ̀ díɛ̀, sassy, taka ɔwɔ́, ɔkùnrin, ɔkùnrin tí ń tɔ́ka ɔwɔ́, ɔkùnrin tí ń tɔ́ka ɔwɔ́: amɔ́láwɔ̀ díɛ̀
💁🏾‍♂	adúláwɔ̀ díɛ̀, sassy, taka ɔwɔ́, ɔkùnrin, ɔkùnrin tí ń tɔ́ka ɔwɔ́, ɔkùnrin tí ń tɔ́ka ɔwɔ́: adúláwɔ̀ díɛ̀
💁🏿‍♂	adúláwɔ̀, sassy, taka ɔwɔ́, ɔkùnrin, ɔkùnrin tí ń tɔ́ka ɔwɔ́, ɔkùnrin tí ń tɔ́ka ɔwɔ́: adúláwɔ̀
💁‍♀	obìnrin, obìnrin tí ń tɔ́ka ɔwɔ́, sassy, tɔ́ka ɔwɔ́
💁🏻‍♀	amɔ́lára, obìnrin, obìnrin tí ń tɔ́ka ɔwɔ́, obìnrin tí ń tɔ́ka ɔwɔ́: amɔ́lára, sassy, tɔ́ka ɔwɔ́
💁🏼‍♀	amɔ́lára díɛ̀, obìnrin, obìnrin tí ń tɔ́ka ɔwɔ́, obìnrin tí ń tɔ́ka ɔwɔ́: amɔ́lára díɛ̀, sassy, tɔ́ka ɔwɔ́
💁🏽‍♀	amɔ́láwɔ̀ díɛ̀, obìnrin, obìnrin tí ń tɔ́ka ɔwɔ́, obìnrin tí ń tɔ́ka ɔwɔ́: amɔ́láwɔ̀ díɛ̀, sassy, tɔ́ka ɔwɔ́
💁🏾‍♀	adúláwɔ̀ díɛ̀, obìnrin, obìnrin tí ń tɔ́ka ɔwɔ́, obìnrin tí ń tɔ́ka ɔwɔ́: adúláwɔ̀ díɛ̀, sassy, tɔ́ka ɔwɔ́
💁🏿‍♀	adúláwɔ̀, obìnrin, obìnrin tí ń tɔ́ka ɔwɔ́, obìnrin tí ń tɔ́ka ɔwɔ́: adúláwɔ̀, sassy, tɔ́ka ɔwɔ́
🙋	fɔwɔ́júwè, gbéga, ìdùnú, Ɛni N Nawɔ Soke, ɔwɔ́
🙋🏻	amɔ́lára, fɔwɔ́júwè, gbéga, ìdùnú, Ɛni N Nawɔ Soke, Ɛni N Nawɔ Soke: amɔ́lára, ɔwɔ́
🙋🏼	amɔ́lára díɛ̀, fɔwɔ́júwè, gbéga, ìdùnú, Ɛni N Nawɔ Soke, Ɛni N Nawɔ Soke: amɔ́lára díɛ̀, ɔwɔ́
🙋🏽	amɔ́láwɔ̀ díɛ̀, fɔwɔ́júwè, gbéga, ìdùnú, Ɛni N Nawɔ Soke, Ɛni N Nawɔ Soke: amɔ́láwɔ̀ díɛ̀, ɔwɔ́
🙋🏾	adúláwɔ̀ díɛ̀, fɔwɔ́júwè, gbéga, ìdùnú, Ɛni N Nawɔ Soke, Ɛni N Nawɔ Soke: adúláwɔ̀ díɛ̀, ɔwɔ́
🙋🏿	adúláwɔ̀, fɔwɔ́júwè, gbéga, ìdùnú, Ɛni N Nawɔ Soke, Ɛni N Nawɔ Soke: adúláwɔ̀, ɔwɔ́
🙋‍♂	fɔwɔ́júwè, nawɔ́ sókè, ɔkùnrin, ɔkùnrintí ń nawɔ́ sókè
🙋🏻‍♂	amɔ́lára, fɔwɔ́júwè, nawɔ́ sókè, ɔkùnrin, ɔkùnrintí ń nawɔ́ sókè, ɔkùnrintí ń nawɔ́ sókè: amɔ́lára
🙋🏼‍♂	amɔ́lára díɛ̀, fɔwɔ́júwè, nawɔ́ sókè, ɔkùnrin, ɔkùnrintí ń nawɔ́ sókè, ɔkùnrintí ń nawɔ́ sókè: amɔ́lára díɛ̀
🙋🏽‍♂	amɔ́láwɔ̀ díɛ̀, fɔwɔ́júwè, nawɔ́ sókè, ɔkùnrin, ɔkùnrintí ń nawɔ́ sókè, ɔkùnrintí ń nawɔ́ sókè: amɔ́láwɔ̀ díɛ̀
🙋🏾‍♂	adúláwɔ̀ díɛ̀, fɔwɔ́júwè, nawɔ́ sókè, ɔkùnrin, ɔkùnrintí ń nawɔ́ sókè, ɔkùnrintí ń nawɔ́ sókè: adúláwɔ̀ díɛ̀
🙋🏿‍♂	adúláwɔ̀, fɔwɔ́júwè, nawɔ́ sókè, ɔkùnrin, ɔkùnrintí ń nawɔ́ sókè, ɔkùnrintí ń nawɔ́ sókè: adúláwɔ̀
🙋‍♀	fɔwɔ́júwè, nawɔ́ sókè, obìnrin, obìnrin tí ń nawɔ́ sókè
🙋🏻‍♀	amɔ́lára, fɔwɔ́júwè, nawɔ́ sókè, obìnrin, obìnrin tí ń nawɔ́ sókè, obìnrin tí ń nawɔ́ sókè: amɔ́lára
🙋🏼‍♀	amɔ́lára díɛ̀, fɔwɔ́júwè, nawɔ́ sókè, obìnrin, obìnrin tí ń nawɔ́ sókè, obìnrin tí ń nawɔ́ sókè: amɔ́lára díɛ̀
🙋🏽‍♀	amɔ́láwɔ̀ díɛ̀, fɔwɔ́júwè, nawɔ́ sókè, obìnrin, obìnrin tí ń nawɔ́ sókè, obìnrin tí ń nawɔ́ sókè: amɔ́láwɔ̀ díɛ̀
🙋🏾‍♀	adúláwɔ̀ díɛ̀, fɔwɔ́júwè, nawɔ́ sókè, obìnrin, obìnrin tí ń nawɔ́ sókè, obìnrin tí ń nawɔ́ sókè: adúláwɔ̀ díɛ̀
🙋🏿‍♀	adúláwɔ̀, fɔwɔ́júwè, nawɔ́ sókè, obìnrin, obìnrin tí ń nawɔ́ sókè, obìnrin tí ń nawɔ́ sókè: adúláwɔ̀
🙇	bɛ̀bɛ̀, fɔwɔ́júwè, pɛ̀lɛ́, tɛríba, Ɛni N Tɛriba
🙇🏻	amɔ́lára, bɛ̀bɛ̀, fɔwɔ́júwè, pɛ̀lɛ́, tɛríba, Ɛni N Tɛriba, Ɛni N Tɛriba: amɔ́lára
🙇🏼	amɔ́lára díɛ̀, bɛ̀bɛ̀, fɔwɔ́júwè, pɛ̀lɛ́, tɛríba, Ɛni N Tɛriba, Ɛni N Tɛriba: amɔ́lára díɛ̀
🙇🏽	amɔ́láwɔ̀ díɛ̀, bɛ̀bɛ̀, fɔwɔ́júwè, pɛ̀lɛ́, tɛríba, Ɛni N Tɛriba, Ɛni N Tɛriba: amɔ́láwɔ̀ díɛ̀
🙇🏾	adúláwɔ̀ díɛ̀, bɛ̀bɛ̀, fɔwɔ́júwè, pɛ̀lɛ́, tɛríba, Ɛni N Tɛriba, Ɛni N Tɛriba: adúláwɔ̀ díɛ̀
🙇🏿	adúláwɔ̀, bɛ̀bɛ̀, fɔwɔ́júwè, pɛ̀lɛ́, tɛríba, Ɛni N Tɛriba, Ɛni N Tɛriba: adúláwɔ̀
🙇‍♂	bɛ̀bɛ̀, fɔwɔ́júwè, pɛ̀lɛ́, títɛríba, àànú, ɔkùnrin, ɔkùnrin tí ń tɛríba
🙇🏻‍♂	amɔ́lára, bɛ̀bɛ̀, fɔwɔ́júwè, pɛ̀lɛ́, títɛríba, àànú, ɔkùnrin, ɔkùnrin tí ń tɛríba, ɔkùnrin tí ń tɛríba: amɔ́lára
🙇🏼‍♂	amɔ́lára díɛ̀, bɛ̀bɛ̀, fɔwɔ́júwè, pɛ̀lɛ́, títɛríba, àànú, ɔkùnrin, ɔkùnrin tí ń tɛríba, ɔkùnrin tí ń tɛríba: amɔ́lára díɛ̀
🙇🏽‍♂	amɔ́láwɔ̀ díɛ̀, bɛ̀bɛ̀, fɔwɔ́júwè, pɛ̀lɛ́, títɛríba, àànú, ɔkùnrin, ɔkùnrin tí ń tɛríba, ɔkùnrin tí ń tɛríba: amɔ́láwɔ̀ díɛ̀
🙇🏾‍♂	adúláwɔ̀ díɛ̀, bɛ̀bɛ̀, fɔwɔ́júwè, pɛ̀lɛ́, títɛríba, àànú, ɔkùnrin, ɔkùnrin tí ń tɛríba, ɔkùnrin tí ń tɛríba: adúláwɔ̀ díɛ̀
🙇🏿‍♂	adúláwɔ̀, bɛ̀bɛ̀, fɔwɔ́júwè, pɛ̀lɛ́, títɛríba, àànú, ɔkùnrin, ɔkùnrin tí ń tɛríba, ɔkùnrin tí ń tɛríba: adúláwɔ̀
🙇‍♀	bɛ̀bɛ̀, fɔwɔ́júwè, obìnrin, obìnrin tí ń tɛríba, pɛ̀lɛ́, títɛríba, àànú
🙇🏻‍♀	amɔ́lára, bɛ̀bɛ̀, fɔwɔ́júwè, obìnrin, obìnrin tí ń tɛríba, obìnrin tí ń tɛríba: amɔ́lára, pɛ̀lɛ́, títɛríba, àànú
🙇🏼‍♀	amɔ́lára díɛ̀, bɛ̀bɛ̀, fɔwɔ́júwè, obìnrin, obìnrin tí ń tɛríba, obìnrin tí ń tɛríba: amɔ́lára díɛ̀, pɛ̀lɛ́, títɛríba, àànú
🙇🏽‍♀	amɔ́láwɔ̀ díɛ̀, bɛ̀bɛ̀, fɔwɔ́júwè, obìnrin, obìnrin tí ń tɛríba, obìnrin tí ń tɛríba: amɔ́láwɔ̀ díɛ̀, pɛ̀lɛ́, títɛríba, àànú
🙇🏾‍♀	adúláwɔ̀ díɛ̀, bɛ̀bɛ̀, fɔwɔ́júwè, obìnrin, obìnrin tí ń tɛríba, obìnrin tí ń tɛríba: adúláwɔ̀ díɛ̀, pɛ̀lɛ́, títɛríba, àànú
🙇🏿‍♀	adúláwɔ̀, bɛ̀bɛ̀, fɔwɔ́júwè, obìnrin, obìnrin tí ń tɛríba, obìnrin tí ń tɛríba: adúláwɔ̀, pɛ̀lɛ́, títɛríba, àànú
🤦	ojú, àtɛ́lɛ́ ɔwa, àìgbàgbɔ́, ìkórira, Ɛni Fɔwɔ Boju
🤦🏻	amɔ́lára, ojú, àtɛ́lɛ́ ɔwa, àìgbàgbɔ́, ìkórira, Ɛni Fɔwɔ Boju, Ɛni Fɔwɔ Boju: amɔ́lára
🤦🏼	amɔ́lára díɛ̀, ojú, àtɛ́lɛ́ ɔwa, àìgbàgbɔ́, ìkórira, Ɛni Fɔwɔ Boju, Ɛni Fɔwɔ Boju: amɔ́lára díɛ̀
🤦🏽	amɔ́láwɔ̀ díɛ̀, ojú, àtɛ́lɛ́ ɔwa, àìgbàgbɔ́, ìkórira, Ɛni Fɔwɔ Boju, Ɛni Fɔwɔ Boju: amɔ́láwɔ̀ díɛ̀
🤦🏾	adúláwɔ̀ díɛ̀, ojú, àtɛ́lɛ́ ɔwa, àìgbàgbɔ́, ìkórira, Ɛni Fɔwɔ Boju, Ɛni Fɔwɔ Boju: adúláwɔ̀ díɛ̀
🤦🏿	adúláwɔ̀, ojú, àtɛ́lɛ́ ɔwa, àìgbàgbɔ́, ìkórira, Ɛni Fɔwɔ Boju, Ɛni Fɔwɔ Boju: adúláwɔ̀
🤦‍♂	fɔwɔ́bojú, okùnrin, àìgbàgbɔ́, ìkórira, ɔkùnrin tín fɔwɔ́bojú
🤦🏻‍♂	amɔ́lára, fɔwɔ́bojú, okùnrin, àìgbàgbɔ́, ìkórira, ɔkùnrin tín fɔwɔ́bojú, ɔkùnrin tín fɔwɔ́bojú: amɔ́lára
🤦🏼‍♂	amɔ́lára díɛ̀, fɔwɔ́bojú, okùnrin, àìgbàgbɔ́, ìkórira, ɔkùnrin tín fɔwɔ́bojú, ɔkùnrin tín fɔwɔ́bojú: amɔ́lára díɛ̀
🤦🏽‍♂	amɔ́láwɔ̀ díɛ̀, fɔwɔ́bojú, okùnrin, àìgbàgbɔ́, ìkórira, ɔkùnrin tín fɔwɔ́bojú, ɔkùnrin tín fɔwɔ́bojú: amɔ́láwɔ̀ díɛ̀
🤦🏾‍♂	adúláwɔ̀ díɛ̀, fɔwɔ́bojú, okùnrin, àìgbàgbɔ́, ìkórira, ɔkùnrin tín fɔwɔ́bojú, ɔkùnrin tín fɔwɔ́bojú: adúláwɔ̀ díɛ̀
🤦🏿‍♂	adúláwɔ̀, fɔwɔ́bojú, okùnrin, àìgbàgbɔ́, ìkórira, ɔkùnrin tín fɔwɔ́bojú, ɔkùnrin tín fɔwɔ́bojú: adúláwɔ̀
🤦‍♀	fɔwɔ́bojú, obìnrin, obìnrí tín fɔwɔ́bojú, àìgbàgbɔ́, ìkórira
🤦🏻‍♀	amɔ́lára, fɔwɔ́bojú, obìnrin, obìnrí tín fɔwɔ́bojú, obìnrí tín fɔwɔ́bojú: amɔ́lára, àìgbàgbɔ́, ìkórira
🤦🏼‍♀	amɔ́lára díɛ̀, fɔwɔ́bojú, obìnrin, obìnrí tín fɔwɔ́bojú, obìnrí tín fɔwɔ́bojú: amɔ́lára díɛ̀, àìgbàgbɔ́, ìkórira
🤦🏽‍♀	amɔ́láwɔ̀ díɛ̀, fɔwɔ́bojú, obìnrin, obìnrí tín fɔwɔ́bojú, obìnrí tín fɔwɔ́bojú: amɔ́láwɔ̀ díɛ̀, àìgbàgbɔ́, ìkórira
🤦🏾‍♀	adúláwɔ̀ díɛ̀, fɔwɔ́bojú, obìnrin, obìnrí tín fɔwɔ́bojú, obìnrí tín fɔwɔ́bojú: adúláwɔ̀ díɛ̀, àìgbàgbɔ́, ìkórira
🤦🏿‍♀	adúláwɔ̀, fɔwɔ́bojú, obìnrin, obìnrí tín fɔwɔ́bojú, obìnrí tín fɔwɔ́bojú: adúláwɔ̀, àìgbàgbɔ́, ìkórira
🤷	gúnpá, iyèméjì, àìmɔ̀kan, àìnání, Ɛni N Gunpa
🤷🏻	amɔ́lára, gúnpá, iyèméjì, àìmɔ̀kan, àìnání, Ɛni N Gunpa, Ɛni N Gunpa: amɔ́lára
🤷🏼	amɔ́lára díɛ̀, gúnpá, iyèméjì, àìmɔ̀kan, àìnání, Ɛni N Gunpa, Ɛni N Gunpa: amɔ́lára díɛ̀
🤷🏽	amɔ́láwɔ̀ díɛ̀, gúnpá, iyèméjì, àìmɔ̀kan, àìnání, Ɛni N Gunpa, Ɛni N Gunpa: amɔ́láwɔ̀ díɛ̀
🤷🏾	adúláwɔ̀ díɛ̀, gúnpá, iyèméjì, àìmɔ̀kan, àìnání, Ɛni N Gunpa, Ɛni N Gunpa: adúláwɔ̀ díɛ̀
🤷🏿	adúláwɔ̀, gúnpá, iyèméjì, àìmɔ̀kan, àìnání, Ɛni N Gunpa, Ɛni N Gunpa: adúláwɔ̀
🤷‍♂	gúnpá, iyèméjì, àìmɔ̀kan, àìnání, ɔkùnrin, ɔkùnrin tí ń gúnpá
🤷🏻‍♂	amɔ́lára, gúnpá, iyèméjì, àìmɔ̀kan, àìnání, ɔkùnrin, ɔkùnrin tí ń gúnpá, ɔkùnrin tí ń gúnpá: amɔ́lára
🤷🏼‍♂	amɔ́lára díɛ̀, gúnpá, iyèméjì, àìmɔ̀kan, àìnání, ɔkùnrin, ɔkùnrin tí ń gúnpá, ɔkùnrin tí ń gúnpá: amɔ́lára díɛ̀
🤷🏽‍♂	amɔ́láwɔ̀ díɛ̀, gúnpá, iyèméjì, àìmɔ̀kan, àìnání, ɔkùnrin, ɔkùnrin tí ń gúnpá, ɔkùnrin tí ń gúnpá: amɔ́láwɔ̀ díɛ̀
🤷🏾‍♂	adúláwɔ̀ díɛ̀, gúnpá, iyèméjì, àìmɔ̀kan, àìnání, ɔkùnrin, ɔkùnrin tí ń gúnpá, ɔkùnrin tí ń gúnpá: adúláwɔ̀ díɛ̀
🤷🏿‍♂	adúláwɔ̀, gúnpá, iyèméjì, àìmɔ̀kan, àìnání, ɔkùnrin, ɔkùnrin tí ń gúnpá, ɔkùnrin tí ń gúnpá: adúláwɔ̀
🤷‍♀	gúnpá, iyèméjì, obìnrin, obìǹrin tí ń gúnpa, àìmɔ̀kan, àìnánní
🤷🏻‍♀	amɔ́lára, gúnpá, iyèméjì, obìnrin, obìǹrin tí ń gúnpa, obìǹrin tí ń gúnpa: amɔ́lára, àìmɔ̀kan, àìnánní
🤷🏼‍♀	amɔ́lára díɛ̀, gúnpá, iyèméjì, obìnrin, obìǹrin tí ń gúnpa, obìǹrin tí ń gúnpa: amɔ́lára díɛ̀, àìmɔ̀kan, àìnánní
🤷🏽‍♀	amɔ́láwɔ̀ díɛ̀, gúnpá, iyèméjì, obìnrin, obìǹrin tí ń gúnpa, obìǹrin tí ń gúnpa: amɔ́láwɔ̀ díɛ̀, àìmɔ̀kan, àìnánní
🤷🏾‍♀	adúláwɔ̀ díɛ̀, gúnpá, iyèméjì, obìnrin, obìǹrin tí ń gúnpa, obìǹrin tí ń gúnpa: adúláwɔ̀ díɛ̀, àìmɔ̀kan, àìnánní
🤷🏿‍♀	adúláwɔ̀, gúnpá, iyèméjì, obìnrin, obìǹrin tí ń gúnpa, obìǹrin tí ń gúnpa: adúláwɔ̀, àìmɔ̀kan, àìnánní
👨‍⚕	ajɔ ìlera, dókítà, nɔ́ɔ̀sì, olùdámɔ̀ràn, ɔkùnrin, ɔkùnrín òshìshɛ́ ètò ìlera
👨🏻‍⚕	ajɔ ìlera, amɔ́lára, dókítà, nɔ́ɔ̀sì, olùdámɔ̀ràn, ɔkùnrin, ɔkùnrín òshìshɛ́ ètò ìlera, ɔkùnrín òshìshɛ́ ètò ìlera: amɔ́lára
👨🏼‍⚕	ajɔ ìlera, amɔ́lára díɛ̀, dókítà, nɔ́ɔ̀sì, olùdámɔ̀ràn, ɔkùnrin, ɔkùnrín òshìshɛ́ ètò ìlera, ɔkùnrín òshìshɛ́ ètò ìlera: amɔ́lára díɛ̀
👨🏽‍⚕	ajɔ ìlera, amɔ́láwɔ̀ díɛ̀, dókítà, nɔ́ɔ̀sì, olùdámɔ̀ràn, ɔkùnrin, ɔkùnrín òshìshɛ́ ètò ìlera, ɔkùnrín òshìshɛ́ ètò ìlera: amɔ́láwɔ̀ díɛ̀
👨🏾‍⚕	adúláwɔ̀ díɛ̀, ajɔ ìlera, dókítà, nɔ́ɔ̀sì, olùdámɔ̀ràn, ɔkùnrin, ɔkùnrín òshìshɛ́ ètò ìlera, ɔkùnrín òshìshɛ́ ètò ìlera: adúláwɔ̀ díɛ̀
👨🏿‍⚕	adúláwɔ̀, ajɔ ìlera, dókítà, nɔ́ɔ̀sì, olùdámɔ̀ràn, ɔkùnrin, ɔkùnrín òshìshɛ́ ètò ìlera, ɔkùnrín òshìshɛ́ ètò ìlera: adúláwɔ̀
👩‍⚕	ajɔ ìlera, dókítà, nɔ́ɔ̀sì, obìrin, obìrin òshìshɛ́ ètò ìlera, olùdámɔ̀ràn
👩🏻‍⚕	ajɔ ìlera, amɔ́lára, dókítà, nɔ́ɔ̀sì, obìrin, obìrin òshìshɛ́ ètò ìlera, obìrin òshìshɛ́ ètò ìlera: amɔ́lára, olùdámɔ̀ràn
👩🏼‍⚕	ajɔ ìlera, amɔ́lára díɛ̀, dókítà, nɔ́ɔ̀sì, obìrin, obìrin òshìshɛ́ ètò ìlera, obìrin òshìshɛ́ ètò ìlera: amɔ́lára díɛ̀, olùdámɔ̀ràn
👩🏽‍⚕	ajɔ ìlera, amɔ́láwɔ̀ díɛ̀, dókítà, nɔ́ɔ̀sì, obìrin, obìrin òshìshɛ́ ètò ìlera, obìrin òshìshɛ́ ètò ìlera: amɔ́láwɔ̀ díɛ̀, olùdámɔ̀ràn
👩🏾‍⚕	adúláwɔ̀ díɛ̀, ajɔ ìlera, dókítà, nɔ́ɔ̀sì, obìrin, obìrin òshìshɛ́ ètò ìlera, obìrin òshìshɛ́ ètò ìlera: adúláwɔ̀ díɛ̀, olùdámɔ̀ràn
👩🏿‍⚕	adúláwɔ̀, ajɔ ìlera, dókítà, nɔ́ɔ̀sì, obìrin, obìrin òshìshɛ́ ètò ìlera, obìrin òshìshɛ́ ètò ìlera: adúláwɔ̀, olùdámɔ̀ràn
👨‍🎓	akɛ́kɔ̀ɔ́, kàwégboyè, ɔkùnrin, ɔkùnrin akɛ́kɔ̀ɔ́
👨🏻‍🎓	akɛ́kɔ̀ɔ́, amɔ́lára, kàwégboyè, ɔkùnrin, ɔkùnrin akɛ́kɔ̀ɔ́: amɔ́lára
👨🏼‍🎓	akɛ́kɔ̀ɔ́, amɔ́lára díɛ̀, kàwégboyè, ɔkùnrin, ɔkùnrin akɛ́kɔ̀ɔ́: amɔ́lára díɛ̀
👨🏽‍🎓	akɛ́kɔ̀ɔ́, amɔ́láwɔ̀ díɛ̀, kàwégboyè, ɔkùnrin, ɔkùnrin akɛ́kɔ̀ɔ́: amɔ́láwɔ̀ díɛ̀
👨🏾‍🎓	adúláwɔ̀ díɛ̀, akɛ́kɔ̀ɔ́, kàwégboyè, ɔkùnrin, ɔkùnrin akɛ́kɔ̀ɔ́: adúláwɔ̀ díɛ̀
👨🏿‍🎓	adúláwɔ̀, akɛ́kɔ̀ɔ́, kàwégboyè, ɔkùnrin, ɔkùnrin akɛ́kɔ̀ɔ́: adúláwɔ̀
👩‍🎓	akɛ́kɔ̀ɔ́, kàwégboyè, obìrin, obìrin akɛ́kɔ̀ɔ́
👩🏻‍🎓	akɛ́kɔ̀ɔ́, amɔ́lára, kàwégboyè, obìrin, obìrin akɛ́kɔ̀ɔ́: amɔ́lára
👩🏼‍🎓	akɛ́kɔ̀ɔ́, amɔ́lára díɛ̀, kàwégboyè, obìrin, obìrin akɛ́kɔ̀ɔ́: amɔ́lára díɛ̀
👩🏽‍🎓	akɛ́kɔ̀ɔ́, amɔ́láwɔ̀ díɛ̀, kàwégboyè, obìrin, obìrin akɛ́kɔ̀ɔ́: amɔ́láwɔ̀ díɛ̀
👩🏾‍🎓	adúláwɔ̀ díɛ̀, akɛ́kɔ̀ɔ́, kàwégboyè, obìrin, obìrin akɛ́kɔ̀ɔ́: adúláwɔ̀ díɛ̀
👩🏿‍🎓	adúláwɔ̀, akɛ́kɔ̀ɔ́, kàwégboyè, obìrin, obìrin akɛ́kɔ̀ɔ́: adúláwɔ̀
👨‍🏫	olùkɔ́, olùtanisɔ́nà, ɔkùnrin, ɔkùnrin olùkɔ́, ɔ̀mɔ̀wé àgbà
👨🏻‍🏫	amɔ́lára, olùkɔ́, olùtanisɔ́nà, ɔkùnrin, ɔkùnrin olùkɔ́: amɔ́lára, ɔ̀mɔ̀wé àgbà
👨🏼‍🏫	amɔ́lára díɛ̀, olùkɔ́, olùtanisɔ́nà, ɔkùnrin, ɔkùnrin olùkɔ́: amɔ́lára díɛ̀, ɔ̀mɔ̀wé àgbà
👨🏽‍🏫	amɔ́láwɔ̀ díɛ̀, olùkɔ́, olùtanisɔ́nà, ɔkùnrin, ɔkùnrin olùkɔ́: amɔ́láwɔ̀ díɛ̀, ɔ̀mɔ̀wé àgbà
👨🏾‍🏫	adúláwɔ̀ díɛ̀, olùkɔ́, olùtanisɔ́nà, ɔkùnrin, ɔkùnrin olùkɔ́: adúláwɔ̀ díɛ̀, ɔ̀mɔ̀wé àgbà
👨🏿‍🏫	adúláwɔ̀, olùkɔ́, olùtanisɔ́nà, ɔkùnrin, ɔkùnrin olùkɔ́: adúláwɔ̀, ɔ̀mɔ̀wé àgbà
👩‍🏫	obìnrin olùkɔ́, obìrin, olùkɔ́, olùtanisɔ́nà, ɔ̀mɔ̀wé àgbà
👩🏻‍🏫	amɔ́lára, obìnrin olùkɔ́, obìnrin olùkɔ́: amɔ́lára, obìrin, olùkɔ́, olùtanisɔ́nà, ɔ̀mɔ̀wé àgbà
👩🏼‍🏫	amɔ́lára díɛ̀, obìnrin olùkɔ́, obìnrin olùkɔ́: amɔ́lára díɛ̀, obìrin, olùkɔ́, olùtanisɔ́nà, ɔ̀mɔ̀wé àgbà
👩🏽‍🏫	amɔ́láwɔ̀ díɛ̀, obìnrin olùkɔ́, obìnrin olùkɔ́: amɔ́láwɔ̀ díɛ̀, obìrin, olùkɔ́, olùtanisɔ́nà, ɔ̀mɔ̀wé àgbà
👩🏾‍🏫	adúláwɔ̀ díɛ̀, obìnrin olùkɔ́, obìnrin olùkɔ́: adúláwɔ̀ díɛ̀, obìrin, olùkɔ́, olùtanisɔ́nà, ɔ̀mɔ̀wé àgbà
👩🏿‍🏫	adúláwɔ̀, obìnrin olùkɔ́, obìnrin olùkɔ́: adúláwɔ̀, obìrin, olùkɔ́, olùtanisɔ́nà, ɔ̀mɔ̀wé àgbà
👨‍⚖	òdodo onídajɔ, ɔkùnrin adájɔ́
👨🏻‍⚖	amɔ́lára, òdodo onídajɔ, ɔkùnrin adájɔ́, ɔkùnrin adájɔ́: amɔ́lára
👨🏼‍⚖	amɔ́lára díɛ̀, òdodo onídajɔ, ɔkùnrin adájɔ́, ɔkùnrin adájɔ́: amɔ́lára díɛ̀
👨🏽‍⚖	amɔ́láwɔ̀ díɛ̀, òdodo onídajɔ, ɔkùnrin adájɔ́, ɔkùnrin adájɔ́: amɔ́láwɔ̀ díɛ̀
👨🏾‍⚖	adúláwɔ̀ díɛ̀, òdodo onídajɔ, ɔkùnrin adájɔ́, ɔkùnrin adájɔ́: adúláwɔ̀ díɛ̀
👨🏿‍⚖	adúláwɔ̀, òdodo onídajɔ, ɔkùnrin adájɔ́, ɔkùnrin adájɔ́: adúláwɔ̀
